"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709388058376921E9,"2024-03-02 16:00:58.377 UTC+02:00"
"PAUSE",7.605568485001568E2,1.709388818915678E9,"2024-03-02 16:13:38.916 UTC+02:00"
