"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.066341251E-1,2.348981479E-1,-3.760294685E-1,-4.867643309E-1,6.584184193E-1
6.166211250E-1,6.359066293E-2,-3.108157647E-1,-3.103251833E-1,4.437926671E-1
6.266081249E-1,-1.610239868E-1,-3.308129498E-1,1.617983043E-2,3.682766881E-1
6.365941251E-1,-2.993650161E-1,-2.463089892E-1,2.856014013E-1,4.815139577E-1
6.465811250E-1,-1.787808113E-1,-1.710002138E-1,3.440542620E-1,4.237652497E-1
6.565681249E-1,-5.955067545E-2,-6.792608097E-2,2.613261008E-1,2.764987638E-1
6.665551253E-1,1.285003115E-1,1.265483648E-1,1.086938918E-1,2.105734570E-1
6.765421252E-1,2.229151565E-1,3.083770372E-1,2.621365249E-2,3.814114834E-1
6.865281248E-1,-1.076130340E-1,3.148952208E-1,-1.149638611E-1,3.520742174E-1
6.965151252E-1,-3.516091570E-1,3.378268312E-1,-3.618859309E-1,6.072210423E-1
7.065021251E-1,-2.686842370E-1,4.439090641E-1,-5.015069157E-1,7.216340228E-1
7.164891250E-1,-2.593371704E-2,5.034910221E-1,-3.974943048E-1,6.420105057E-1
7.264761250E-1,2.136531669E-1,5.583665563E-1,-3.704795837E-2,5.989936879E-1
7.364621251E-1,3.071744111E-1,6.310667427E-1,4.785881692E-1,8.494986688E-1
7.464491250E-1,2.946248245E-1,8.629826644E-1,9.714043683E-1,1.332354800E0
7.564361249E-1,2.415685053E-1,1.174722874E0,1.299769381E0,1.768538837E0
7.664231253E-1,-2.929381952E-2,1.423265499E0,1.011652508E0,1.746420226E0
7.764101252E-1,-4.035132824E-1,1.229436733E0,1.490548825E-1,1.302518716E0
7.863961249E-1,-1.974886708E0,7.729313041E-1,-9.953832150E-2,2.123089303E0
7.963831252E-1,-7.750487271E-1,3.535841272E-1,4.314473319E-1,9.549183549E-1
8.063701252E-1,9.112686789E-1,5.791330889E-1,-2.336307639E-1,1.104712213E0
8.163571251E-1,8.932645172E-1,1.107230291E0,-4.681140518E-1,1.497668582E0
8.263441250E-1,1.116417217E0,1.122731698E0,1.561972564E-1,1.591009570E0
8.363301251E-1,3.201678014E-1,6.530987589E-1,1.593202543E-1,7.445994583E-1
8.463171250E-1,-1.155363035E-1,3.482792408E-1,1.836990505E-1,4.103564404E-1
8.563041249E-1,-7.389945030E-2,3.004753292E-1,2.128088289E-1,3.755451370E-1
8.662911248E-1,3.281046657E-1,3.982814131E-1,7.197279274E-2,5.210190386E-1
8.762781252E-1,1.233745546E0,4.771667842E-1,-9.189484119E-2,1.325994296E0
8.862641249E-1,1.861402631E0,3.396348634E-1,-6.797107530E-1,2.010516924E0
8.962511253E-1,1.926697026E0,1.252456782E-1,-1.394554501E0,2.381728399E0
9.062381252E-1,1.659032105E0,-9.722808659E-2,-1.447705107E0,2.204016992E0
9.162251251E-1,1.271275022E0,-3.227608223E-1,-6.653002900E-1,1.470693444E0
9.262121250E-1,1.026714935E0,-6.897333191E-1,1.956269612E0,2.314490528E0
9.361981666E-1,-7.521101001E-1,-8.208682398E-1,3.071030166E0,3.266606887E0
9.461851669E-1,-1.216284737E0,-1.244559533E0,1.401812650E0,2.234581772E0
9.561721669E-1,-2.510201274E-1,-1.082791341E0,1.571667833E0,1.924990382E0
9.661591668E-1,-4.439469979E-1,-6.647695821E-1,2.286483514E-1,8.314370709E-1
9.761461667E-1,-4.435894772E-1,-3.941268933E-1,-5.647743738E-1,8.191933383E-1
9.861321668E-1,3.394478256E-1,-3.945142713E-1,-4.147155243E-1,6.654737430E-1
9.961191667E-1,1.599929911E0,-2.979572989E-1,-4.177484751E-1,1.680198816E0
1.006106167E0,1.362233432E0,-2.694269796E-1,-1.115017247E-1,1.393091330E0
1.016093167E0,1.022495731E0,-1.170736096E-1,2.584773374E-1,1.061138202E0
1.026080167E0,1.239245291E0,-1.740124069E-2,-2.299663138E-1,1.260522193E0
1.036066167E0,7.018766704E-1,1.870024350E-1,-1.021701533E-1,7.335117664E-1
1.046053167E0,-5.913581185E-1,8.628168958E-1,-4.229115665E-2,1.046874377E0
1.056040167E0,-2.369291490E0,1.375510266E0,-4.367905176E-1,2.774230815E0
1.066027167E0,-6.917374523E-1,9.782438564E-1,-6.502337694E-1,1.363182196E0
1.076014167E0,1.521145843E-1,8.416281943E-1,-1.160394564E0,1.441524335E0
1.086000167E0,5.932375232E-1,3.166397376E-1,-6.323009437E-1,9.230362755E-1
1.095987167E0,9.628162703E-1,-4.716316637E-2,-2.728486240E-1,1.001841258E0
1.105974167E0,1.400012585E0,-3.809348073E-1,2.886331826E-1,1.479342989E0
1.115961167E0,1.596117380E0,-5.122687892E-1,3.785908413E-1,1.718528740E0
1.125948167E0,1.360580424E0,-3.592801923E-1,1.682249790E-1,1.417237098E0
1.135934167E0,9.059816265E-1,-1.057132005E-1,1.911922574E-2,9.123286322E-1
1.145921167E0,5.916190870E-1,1.972153281E-1,-3.266745830E-1,7.040051938E-1
1.155908167E0,5.802009366E-1,5.361196184E-1,-3.598739040E-1,8.680821383E-1
1.165895167E0,2.558745955E-1,5.295728199E-1,-2.145249867E-1,6.260512360E-1
1.175882167E0,1.652203873E-1,5.172699858E-1,-4.394591868E-2,5.447910227E-1
1.185868167E0,2.746375796E-1,4.362774975E-1,1.717040724E-1,5.433655707E-1
1.195855167E0,5.695860475E-1,1.397248460E-1,-2.733280957E-2,5.871101946E-1
1.205842167E0,8.061570838E-1,-2.176051538E-1,-3.587027067E-1,9.087952897E-1
