X[s],a: EMG RMS 1-1,a: EMG RMS 1-2,a: EMG RMS 1-3,a: EMG RMS 1-4
0.0,4.065175e-05,0.0001057677,1.504476e-05,3.099535e-06
0.015,4.179648e-05,0.0001042807,1.486011e-05,3.280583e-06
0.03,3.976362e-05,0.0001051543,1.443113e-05,3.271984e-06
0.045,3.843088e-05,0.000101449,1.465008e-05,3.319004e-06
0.06,3.753673e-05,0.000100843,1.540102e-05,3.435788e-06
0.075,3.507969e-05,0.0001036221,1.536898e-05,3.448066e-06
0.09,3.370971e-05,0.0001036409,1.541839e-05,3.365367e-06
0.105,3.331459e-05,0.0001008168,1.466929e-05,3.323245e-06
0.12,3.289759e-05,0.0001013818,1.439888e-05,3.171418e-06
0.135,3.347277e-05,0.0001016594,1.443015e-05,3.171418e-06
0.15000000000000002,3.305352e-05,0.0001034438,1.42405e-05,3.126685e-06
0.16500000000000004,3.835273e-05,0.0001051515,1.438322e-05,3.149131e-06
0.18000000000000005,4.136896e-05,0.0001159408,1.423259e-05,3.081303e-06
0.19500000000000006,4.105553e-05,0.000118126,1.423457e-05,3.180289e-06
0.21000000000000008,4.200593e-05,0.0001146021,1.413127e-05,3.241707e-06
0.2250000000000001,4.480663e-05,9.546978e-05,1.456812e-05,3.19355e-06
0.2400000000000001,4.558057e-05,9.060642e-05,1.43891e-05,3.202359e-06
0.2550000000000001,4.508838e-05,8.985376e-05,1.430072e-05,3.175857e-06
0.27000000000000013,4.539631e-05,8.784771e-05,1.332051e-05,2.969556e-06
0.28500000000000014,4.377455e-05,8.668727e-05,1.370312e-05,2.983753e-06
0.30000000000000016,4.378485e-05,8.564621e-05,1.389301e-05,2.828646e-06
0.31500000000000017,4.409326e-05,8.831183e-05,1.371648e-05,2.5676e-06
0.3300000000000002,4.389571e-05,8.421618e-05,1.328132e-05,2.621889e-06
0.3450000000000002,4.449683e-05,8.433552e-05,1.250561e-05,2.653929e-06
0.3600000000000002,4.423297e-05,8.472414e-05,1.30048e-05,2.722057e-06
0.3750000000000002,4.460149e-05,8.083139e-05,1.292439e-05,2.742679e-06
0.39000000000000024,4.423966e-05,7.973298e-05,1.310515e-05,2.722057e-06
0.40500000000000025,4.427658e-05,7.774211e-05,1.302428e-05,2.737538e-06
0.42000000000000026,3.717131e-05,7.035246e-05,1.480027e-05,2.648616e-06
0.4350000000000003,3.578457e-05,5.547767e-05,1.494612e-05,2.685588e-06
0.4500000000000003,3.635554e-05,4.969443e-05,1.469136e-05,2.551088e-06
0.4650000000000003,3.380194e-05,5.181732e-05,1.348238e-05,2.489606e-06
0.4800000000000003,3.013396e-05,5.747679e-05,1.365678e-05,2.495258e-06
0.49500000000000033,3.028784e-05,6.105976e-05,1.36475e-05,2.517739e-06
0.5100000000000003,3.003564e-05,6.035621e-05,1.537265e-05,2.528904e-06
0.5250000000000004,2.6697e-05,6.198548e-05,1.565324e-05,2.426568e-06
0.5400000000000004,2.759678e-05,7.119143e-05,1.548404e-05,2.472574e-06
0.5550000000000004,2.64569e-05,6.861729e-05,1.419096e-05,2.54556e-06
0.5700000000000004,2.598738e-05,7.143598e-05,1.43793e-05,2.605721e-06
0.5850000000000004,2.594506e-05,7.63703e-05,1.449347e-05,2.680338e-06
0.6000000000000004,2.413121e-05,7.905058e-05,1.541017e-05,2.637958e-06
0.6150000000000004,2.400009e-05,7.976566e-05,1.511855e-05,2.664524e-06
0.6300000000000004,2.316563e-05,8.71427e-05,1.536348e-05,2.711688e-06
0.6450000000000005,2.234161e-05,9.493117e-05,1.540285e-05,2.706488e-06
0.6600000000000005,2.25949e-05,0.0001001465,1.512041e-05,2.74781e-06
0.6750000000000005,2.402063e-05,0.0001040933,1.474496e-05,2.833621e-06
0.6900000000000005,2.404407e-05,0.0001065701,1.475833e-05,2.74781e-06
0.7050000000000005,2.415922e-05,0.0001073099,1.474018e-05,2.727227e-06
0.7200000000000005,2.374933e-05,0.0001058585,1.519198e-05,2.752932e-06
0.7350000000000005,2.422618e-05,0.0001062722,1.490649e-05,2.803635e-06
0.7500000000000006,2.47798e-05,0.000112377,1.503727e-05,2.793568e-06
0.7650000000000006,2.502756e-05,0.0001127537,1.321113e-05,2.858369e-06
0.7800000000000006,2.723609e-05,0.0001121597,1.422764e-05,2.936162e-06
0.7950000000000006,3.056239e-05,0.0001079269,1.426916e-05,2.907234e-06
0.8100000000000006,3.157038e-05,0.000111036,1.432827e-05,2.912075e-06
0.8250000000000006,3.604931e-05,0.0001090719,1.456328e-05,2.887788e-06
0.8400000000000006,3.778659e-05,0.0001079141,1.451095e-05,2.818668e-06
0.8550000000000006,3.895983e-05,0.0001072352,1.389504e-05,2.863294e-06
0.8700000000000007,3.922325e-05,0.0001058832,1.42662e-05,3.166973e-06
0.8850000000000007,3.901692e-05,9.345255e-05,1.448375e-05,3.149131e-06
0.9000000000000007,4.022433e-05,8.903702e-05,1.463565e-05,3.122176e-06
0.9150000000000007,3.954658e-05,8.425581e-05,1.455554e-05,3.131187e-06
