Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
0.003314250149,0.2265555233,0.08243141502,-0.02518103421,0.2423972521,freestyle
0.0133022503,0.2605623083,0.1270713982,0.06560459018,0.2972268813,freestyle
0.02329024998,0.01059237733,0.05386104226,0.07686223447,0.09445111656,freestyle
0.03327825014,0.01110795557,0.004301504195,0.03658076584,0.03847131457,freestyle
0.04326625029,0.0906356433,-0.03488916636,0.00383284986,0.09719446746,freestyle
0.05325425044,0.01058287561,-0.1087050015,0.03571479321,0.1149100564,freestyle
0.06324125035,0.01702387601,-0.1326902801,0.1182236838,0.1785311239,freestyle
0.07322925003,0.09587409072,-0.145346286,0.1173325682,0.2099626531,freestyle
0.08321725018,0.07196913823,-0.1175977394,0.08508985162,0.1620156413,freestyle
0.09320525033,0.03594758548,-0.1044225007,0.08348479092,0.1384413156,freestyle
0.10319325,0.00227485925,-0.07405264735,-0.1048212808,0.1283607046,freestyle
0.1131812502,0.03510639042,-0.03700176537,-0.3964166629,0.3996845756,freestyle
0.1231692503,0.08491187699,0.06229068071,-0.2773234981,0.2966453748,freestyle
0.13315725,-0.03659574933,0.1411213803,-0.1265869564,0.1930770581,freestyle
0.1431452502,-0.2185858049,0.1522793296,0.09360632122,0.282366591,freestyle
0.1531332503,-0.2844849486,0.04622107029,0.3780914891,0.4754169196,freestyle
0.1631202502,-0.1707617205,-0.0633180365,0.1301145816,0.2238270387,freestyle
0.1731082504,-0.02244117513,-0.1019742715,0.02314795732,0.1069494569,freestyle
0.1830962501,0.007045675591,-0.09093735963,0.02497111917,0.09456638786,freestyle
0.1930842502,0.01864004642,-0.07950868428,0.00983209312,0.08225419297,freestyle
0.2030722504,0.04393173918,-0.05448903322,-0.007901927233,0.07043786555,freestyle
0.21306025,0.07797400944,-0.04901106924,0.0480921793,0.1038984541,freestyle
0.2230482502,0.1038920121,-0.06428311944,0.05127306461,0.132494516,freestyle
0.2330362503,0.07263338193,-0.06984674513,0.06249679506,0.1185749778,freestyle
0.24302425,-0.06428092673,-0.04074661463,0.1327195162,0.1529927911,freestyle
0.2530122502,-0.1047002435,-0.02719306111,0.05534740448,0.1215110643,freestyle
0.2629992501,-0.06429876074,-4.093050957e-05,-0.03319230437,0.07236063417,freestyle
0.2729872502,0.01544286199,-0.04727239966,-0.02367011368,0.05507663786,freestyle
0.2829752504,-0.02523314752,-0.06273857743,0.1435427123,0.1586737253,freestyle
0.2929632501,-0.08891020305,-0.05605316341,0.1888311517,0.216111511,freestyle
0.3029512502,-0.08646102369,-0.04310011894,0.1996221882,0.2217704825,freestyle
0.3129392504,-0.03795778513,-0.03911787271,0.1471925443,0.1569606528,freestyle
0.3229272501,0.002374773547,-0.04504344106,0.06211964965,0.07676849617,freestyle
