"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709293938045029E9,"2024-03-01 13:52:18.045 UTC+02:00"
"PAUSE",3.156640774998814E2,1.709294253707581E9,"2024-03-01 13:57:33.708 UTC+02:00"
