"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709112807614010E9,"2024-02-28 11:33:27.614 UTC+02:00"
"PAUSE",7.621369096250273E2,1.709113569744299E9,"2024-02-28 11:46:09.744 UTC+02:00"
