Time (ms),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.492458586,-0.2661541468,0.3202069046,-0.4403128803,0.6060081882
15.48045827,-0.1563859022,0.2369627266,-0.2523862928,0.37987725
25.46845842,-0.05633941202,0.1474685329,-0.231721648,0.2803854841
35.45645857,-0.2465857087,0.0781375853,-0.3866851419,0.465226174
45.44445826,-0.5144955551,0.02724144682,-0.5057040471,0.7219309911
55.43245841,-0.3960096602,0.1005256969,-0.459904561,0.6151758057
65.41945832,-0.2209449737,0.1183111363,-0.3204484677,0.4068186658
75.40745847,-0.08404625153,0.155794164,-0.2133450186,0.2772213753
85.39545862,0.08611453962,0.1924878542,-0.2245687491,0.308055857
95.38345831000001,0.1787975307,0.1838833109,-0.254114145,0.3610479576
105.3714585,0.1525722203,0.08221484877,-0.07857079089,0.1902917049
115.3584584,0.0936306968,-0.03158673204,0.172744292,0.1990100989
125.34645850000001,0.1153714851,-0.07922173217,0.2495884001,0.2861486186
135.3344587,-0.04871742938,-0.1117434705,0.2413338858,0.2703738811
145.3224584,-0.1862337454,-0.04526603725,0.2852862364,0.3436862796
155.3104585,-0.05717323411,0.03024062991,0.2824392271,0.2897502224
165.2984587,-0.04624420334,0.07927492356,0.2275689554,0.2453786244
175.2854586,0.06020720813,0.1691584139,0.1300970399,0.2217311812
185.2734587,0.1506896544,0.2044628788,0.09687666893,0.2718410008
195.2614584,0.2403775006,0.1643545791,0.1581443793,0.3313659837
205.2494586,0.2387754366,0.03830297185,0.2567793059,0.3527271449
215.2374587,0.2246633643,0.08931499483,0.3244239897,0.4046006928
225.22445860000002,0.3645686334,0.2071895085,0.2888811046,0.5092053353
235.2124583,0.391449636,0.3348326913,0.2205610675,0.5603507233
245.20045839999997,0.4253085229,0.2981655694,0.1226552886,0.5336987599
255.1884586,0.3064746456,0.2632158844,0.04827578187,0.4068659009
265.1764583,0.03027556702,0.2684400792,-0.002961614728,0.2701582078
275.1644584,-0.02049032472,0.2308367084,-0.07922392488,0.244911963
285.1514583,0.08376940414,0.2600354376,-0.1414646119,0.3076491155
295.1394585,0.1532226317,0.2942887193,-0.1426890188,0.3611691864
305.1274586,0.1613304905,0.2677174182,-0.1937317032,0.3677391956
315.1154583,0.07395459685,0.1804448192,-0.2335582584,0.3042680977
325.1034585,0.01436887465,0.132597821,-0.2740619212,0.3047926892
335.0904584,0.06616584979,0.171670396,-0.3342549133,0.3815429093
345.0784585,0.07758458488,0.1451932351,-0.3571432543,0.3932578638
355.0664587,0.07964342605,0.07292245366,-0.3357547241,0.3526924926
365.0544584,0.04482800771,-0.01070435151,-0.2656898779,0.2696576434
375.0424585,0.04969252568,-0.05892652173,-0.2320023143,0.2444724032
385.0304587,0.03552311417,-0.1302317817,-0.2072662532,0.2473489607
395.0174586,-0.03607457969,-0.1803693536,-0.2482528961,0.3089724574
405.0054583,-0.02652995031,-0.1755073207,-0.2727240783,0.3253998782
414.9934584,-0.1124810968,-0.1975633836,-0.3096708798,0.3841605673
424.9814586,-0.235367058,-0.2660153485,-0.2127141041,0.4140158303
434.9694583,-0.2286068727,-0.3711515385,-0.03933831275,0.4376780433
444.9564586,-0.1391006191,-0.4473413431,0.02169083118,0.4689709497
454.9444583,-0.0227477885,-0.3788337931,0.02808300734,0.3805537544
464.9324585,0.08056520306,-0.368331536,-0.04886342704,0.3801927233
474.92045859999996,-0.05450814631,-0.4318328096,-0.05742082715,0.4390305967
484.9084583,-0.2049774703,-0.5845136236,-0.02156511605,0.6197878619
494.89645850000005,-0.4726039825,-0.769669508,0.1063976902,0.90943177
504.88345840000005,-0.6338454127,-0.817998938,0.2067136914,1.055278551
514.8714585,-0.5355357008,-0.7919275191,0.2273491001,0.982667439
524.8594587,-0.3138567188,-0.7357897172,0.3401869136,0.8692638748
534.8474584,-0.02181391964,-0.6721012596,0.5823078346,0.8895382873
544.8354585000001,0.04562725813,-0.7603989668,0.7995792586,1.104362
554.8224584,-0.6614201508,-1.11131786,0.8875558805,1.568521419
564.8104586000001,-1.053152025,-1.645987698,1.213620599,2.300278167
574.7984583,-0.7687487908,-1.836870638,1.289878816,2.37252098
584.7864584,-0.9353243434,-1.714239176,0.7777761608,2.101995085
594.7744586,-0.833909358,-1.177290532,0.288239665,1.471223953
604.7624587,-0.4513710249,-0.6360598263,-0.161603592,0.796507141
614.7494585999999,-0.05863887526,-0.5604816404,-0.04692390561,0.5654909724
624.7374583000001,0.3331570986,-0.5366961904,0.3888924658,0.7418044238
634.7254585,0.7302048223,-0.4459453569,0.6949544442,1.102283096
644.7134586,1.174986583,-0.3516610511,0.854315629,1.49469534
654.7014583,1.130935707,-0.3304517381,0.8013182205,1.424894668
664.6884587000001,0.7935841084,-0.5817046943,0.677616865,1.194705279
674.6764584,0.7137206443,-0.6005625495,-0.1236095542,0.9409313768
684.6644585,0.1131937627,-0.3968038948,-0.6748850459,0.7910347552
694.6524587,-0.5397088221,-0.7577995871,-1.013531218,1.375787541
704.6404583,-1.06380609,-1.31635267,-0.3295707089,1.724263495
714.6284585,-1.249218594,-1.890545154,-0.05473753989,2.266650452
724.6154584,-0.6929699723,-1.621594868,-0.2778883392,1.785216858
734.6034585,0.06080753446,-1.147927423,-0.3725600231,1.208402208
744.5911253,0.1411091743,-0.964245476,-0.1595816249,0.9874955352
754.579125,0.1066787951,-0.6484135312,-0.0420052278,0.6584716485
764.5671251,0.01150037684,-0.5536632022,0.1485970455,0.5733727253
774.554125,-0.2833054921,-0.6116988641,0.08401922643,0.6793355081
784.5421252,-0.5069452648,-0.540787341,-0.124548617,0.7516360873
794.5301253,-0.7313203248,-0.3749646905,-0.09766779721,0.8276272925
804.5181249999999,-0.7267695831,0.008101902008,0.2976291239,0.7853933811
814.5061252,-0.623983718,0.2669297799,0.1367956102,0.6923295651
824.4941253,-0.3977790642,-0.7714681846,-0.7851565164,1.170411081
834.4811252,-0.01935559943,-1.247767461,-0.5997915941,1.384575109
844.4691253999999,0.2257900862,-1.383325654,-0.5744409907,1.51477836
854.4571251000001,0.2261964677,-1.39186449,-0.4296428812,1.47412503
864.4451252,0.3026428921,-1.325899711,-0.36119479,1.407147626
874.4331254,0.2141275223,-1.236940464,-0.4785115707,1.343445433
884.4201253,0.3068752529,-1.079316926,-0.5678552717,1.25759972
894.408125,0.2081904788,-1.043860287,-0.6974272317,1.272553464
904.3961251,-0.1570586975,-1.146562976,-0.8385562134,1.429143315
914.3841253,-0.2318180539,-1.445606833,-1.157595502,1.866426016
924.372125,-0.1939332128,-1.72086144,-1.898352356,2.569575034
934.3601251,-0.1864199427,-1.806997505,-2.252065634,2.893404914
944.347125,-0.2112864333,-1.713400686,-2.569022144,3.09519929
954.3351252,-0.270990525,-1.42147859,-2.611499827,2.985627002
964.3231253,-0.1260513514,-0.8906147783,-2.933735204,3.06853155
974.311125,0.3798330092,-0.3747077054,-2.93568642,2.983778432
984.2991251,0.7587995341,0.1240013176,-2.877587315,2.978533501
994.2861251,1.489707996,0.5385136512,-2.870562471,3.278621015
1004.274125,2.773626745,0.8591036215,-2.95490037,4.142764844
1014.2621249999999,3.586725351,1.384147627,-3.086255146,4.93005418
1024.250125,3.310023996,1.259782905,-2.835762767,4.537054363
1034.2381249999999,2.698729175,0.6277082482,-2.31822337,3.612660571
1044.2251250000002,2.204710788,0.5053701711,-1.897896273,2.952652864
1054.213125,2.046013408,1.120006676,-1.510098991,2.778666008
1064.201125,2.167453499,1.583906055,-1.150536743,2.920675925
1074.1891249999999,2.266995622,1.792219545,-0.3976773226,2.917099124
1084.1771250000002,2.158383591,1.696924548,0.6546156728,2.822533317
1094.165125,1.88750197,1.464356807,1.787458157,2.983623839
1104.1521249999998,1.543884057,1.553387098,2.912537878,3.64410021
1114.1401250000001,1.187459425,1.468591361,3.808661098,4.251202164
1124.128125,0.9446885861,1.207523707,4.592570404,4.84172004
1134.116125,0.3150437401,0.3672402263,5.130538802,5.15330441
1144.1041249999998,-0.3751659809,-0.7507070607,5.544148033,5.607306664
1154.0911250000001,-0.5873738623,-0.8733220035,6.025546959,6.116773294
1164.079125,-0.2524171369,-0.4645723933,6.266814187,6.28907799
