X[s],a: EMG RMS 1-1,X[s].1,a: EMG RMS 1-2,X[s].2,a: EMG RMS 1-3,X[s].3,a: EMG RMS 1-4
344.00999999980803,1.541108e-05,344.00999999980803,0.001125102,344.00999999980803,0.0003350434,344.00999999980803,5.144353e-05
344.024999999808,1.50943e-05,344.024999999808,0.001082904,344.024999999808,0.0003419038,344.024999999808,5.033323e-05
344.039999999808,1.457295e-05,344.039999999808,0.001006329,344.039999999808,0.0003236844,344.039999999808,4.921705e-05
344.054999999808,1.527059e-05,344.054999999808,0.001078644,344.054999999808,0.00033919,344.054999999808,4.899933e-05
344.069999999808,1.534054e-05,344.069999999808,0.001128272,344.069999999808,0.0003274259,344.069999999808,4.917926e-05
344.08499999980796,1.521607e-05,344.08499999980796,0.001102413,344.08499999980796,0.0002901095,344.08499999980796,4.743634e-05
344.09999999980795,1.511669e-05,344.09999999980795,0.001090076,344.09999999980795,0.0002846591,344.09999999980795,4.6921e-05
344.11499999980794,1.498378e-05,344.11499999980794,0.001076744,344.11499999980794,0.0002861973,344.11499999980794,4.251294e-05
344.1299999998079,1.455264e-05,344.1299999998079,0.00106817,344.1299999998079,0.0002738083,344.1299999998079,3.95683e-05
344.1449999998079,1.471532e-05,344.1449999998079,0.001067859,344.1449999998079,0.0002838215,344.1449999998079,4.06216e-05
344.1599999998079,1.651333e-05,344.1599999998079,0.001066414,344.1599999998079,0.0002949802,344.1599999998079,3.944707e-05
344.1749999998079,1.62554e-05,344.1749999998079,0.00106548,344.1749999998079,0.0002906931,344.1749999998079,3.849899e-05
344.18999999980787,1.594833e-05,344.18999999980787,0.001067985,344.18999999980787,0.0002883828,344.18999999980787,4.133626e-05
344.20499999980785,1.60864e-05,344.20499999980785,0.001102477,344.20499999980785,0.0002941592,344.20499999980785,4.089188e-05
344.21999999980784,1.622157e-05,344.21999999980784,0.001114293,344.21999999980784,0.0002905599,344.21999999980784,3.840521e-05
344.2349999998078,1.64843e-05,344.2349999998078,0.001068625,344.2349999998078,0.0002734846,344.2349999998078,3.931723e-05
344.2499999998078,1.699261e-05,344.2499999998078,0.00100617,344.2499999998078,0.0002951733,344.2499999998078,3.977744e-05
344.2649999998078,1.81417e-05,344.2649999998078,0.0009942277,344.2649999998078,0.0003206668,344.2649999998078,3.88889e-05
344.2799999998078,1.793397e-05,344.2799999998078,0.0009984863,344.2799999998078,0.000322058,344.2799999998078,3.963766e-05
344.29499999980777,1.76617e-05,344.29499999980777,0.0009566216,344.29499999980777,0.0003147162,344.29499999980777,3.965187e-05
344.30999999980776,1.760258e-05,344.30999999980776,0.0007087265,344.30999999980776,0.0003194273,344.30999999980776,4.110731e-05
344.32499999980774,1.854183e-05,344.32499999980774,0.0005695031,344.32499999980774,0.0003245104,344.32499999980774,4.755291e-05
344.33999999980773,1.853728e-05,344.33999999980773,0.0004576872,344.33999999980773,0.0003235605,344.33999999980773,4.711962e-05
344.3549999998077,1.846571e-05,344.3549999998077,0.000449792,344.3549999998077,0.0003210487,344.3549999998077,4.558521e-05
344.3699999998077,1.825626e-05,344.3699999998077,0.0004442214,344.3699999998077,0.0003166231,344.3699999998077,4.729538e-05
344.3849999998077,1.7992e-05,344.3849999998077,0.0004423528,344.3849999998077,0.0003171597,344.3849999998077,4.749867e-05
