"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709295205764718E9,"2024-03-01 14:13:25.765 UTC+02:00"
"PAUSE",4.709999481250998E2,1.709295676750992E9,"2024-03-01 14:21:16.751 UTC+02:00"
