"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.821225833E-1,7.006470010E-1,-2.474015415E-1,-1.201164275E-1,7.526896431E-1
5.921595833E-1,7.499498463E-1,-1.874722588E-1,-1.312103498E-1,7.840833984E-1
6.021965833E-1,6.678774503E-1,-1.864881724E-1,-9.340634644E-2,6.996876965E-1
6.122325833E-1,5.367855066E-1,-1.983258605E-1,-9.716727555E-2,5.804423369E-1
6.222695833E-1,3.890477094E-1,-1.634688538E-1,-9.414017200E-2,4.323685446E-1
6.323065833E-1,2.210373232E-1,-6.833699405E-2,-6.959239125E-2,2.415999667E-1
6.423425833E-1,8.421920121E-2,1.029694676E-2,-3.379924536E-2,9.133066271E-2
6.523795833E-1,-4.005635083E-3,-2.949686408E-2,-5.812424719E-2,6.530343188E-2
6.624165833E-1,3.517304868E-2,-6.322184980E-2,-1.192048466E-1,1.394415329E-1
6.724525833E-1,1.115727684E-1,-3.579197645E-2,-1.170308518E-1,1.656072719E-1
6.824895833E-1,1.927587265E-1,-6.379019916E-2,-2.220702338E-1,3.008991607E-1
6.925255833E-1,2.475427517E-1,-1.134207809E-1,-2.347107446E-1,3.594868859E-1
7.025625833E-1,2.815346628E-1,-1.535607469E-1,-2.287091625E-1,3.938915465E-1
7.125995833E-1,1.671941149E-1,-1.314062315E-1,-2.075439960E-1,2.971463949E-1
7.226355833E-1,4.550566345E-2,-8.518457651E-2,-2.836402452E-1,2.996313838E-1
7.326725833E-1,6.007575542E-2,1.289427996E-2,-2.990353793E-1,3.052826836E-1
7.427095833E-1,1.335392958E-1,4.634444654E-2,-3.301197624E-1,3.591094663E-1
7.527455833E-1,2.229791835E-1,1.059644115E-1,-4.001524490E-1,4.701809814E-1
7.627825832E-1,2.754602829E-1,9.095694780E-2,-4.084519869E-1,5.009835919E-1
7.728185833E-1,3.046548459E-1,7.614302695E-2,-4.129707152E-1,5.188035729E-1
7.828555834E-1,3.920379755E-1,8.600084782E-2,-3.132388508E-1,5.091252279E-1
7.928925833E-1,4.169933072E-1,1.149995291E-1,-1.625362229E-1,4.620890971E-1
8.029285833E-1,3.646130723E-1,7.493206859E-2,-2.314211011E-2,3.729518262E-1
8.129655833E-1,3.120527431E-1,1.719198346E-2,1.694745290E-1,3.555194717E-1
8.230025833E-1,1.077668157E-1,-9.196208417E-2,2.592316282E-1,2.954179218E-1
8.330385833E-1,-1.293816331E-1,-2.071089631E-1,2.367473298E-1,3.401220778E-1
8.430755833E-1,-1.882926232E-1,-1.969950342E-1,1.401144898E-1,3.064200152E-1
8.531115833E-1,-1.048861849E-1,-8.359296441E-2,4.138132989E-2,1.403613549E-1
8.631485833E-1,-3.264851332E-2,-1.681659222E-2,-9.981781840E-2,1.063593911E-1
8.731855833E-1,3.837527633E-3,1.859940827E-2,-2.483803654E-1,2.491053402E-1
8.832215833E-1,2.200716555E-2,7.374566853E-2,-2.924291950E-1,3.023864631E-1
8.932585833E-1,-5.799356192E-2,9.361392260E-2,-2.961737520E-1,3.159837196E-1
9.032955833E-1,-1.137482250E-1,8.155520976E-2,-2.389634246E-1,2.769357853E-1
9.133315833E-1,-5.829352409E-2,6.094435930E-2,-1.325476080E-1,1.571025725E-1
9.233685833E-1,1.280861825E-2,-2.691064060E-2,-1.738552630E-2,3.450362015E-2
9.334055833E-1,1.076180041E-1,-9.054647326E-2,2.176567554E-2,1.423167006E-1
9.434415833E-1,2.341324550E-1,-8.274511814E-2,5.838971078E-2,2.550962943E-1
9.534785833E-1,2.277125046E-1,-4.566616952E-2,1.279183674E-1,2.651442862E-1
9.635145833E-1,8.692997038E-2,-9.617178708E-2,9.390335977E-2,1.600739621E-1
9.735515834E-1,9.819521606E-3,-1.258464065E-1,7.885905862E-2,1.488371330E-1
9.835885833E-1,1.037471473E-2,-9.229976088E-2,1.670081735E-2,9.437053494E-2
9.936245834E-1,3.097884089E-2,-8.057463169E-3,-5.936385691E-2,6.744389374E-2
1.003661583E0,2.822567940E-2,5.740971744E-2,-1.671637094E-1,1.789867883E-1
1.013698583E0,-3.257454604E-2,3.928568780E-2,-2.711640412E-1,2.759246338E-1
1.023734583E0,-1.158707643E-1,7.529196471E-2,-3.754771990E-1,4.000975392E-1
1.033771583E0,-6.506430745E-2,1.822974730E-1,-4.389762068E-1,4.797560243E-1
1.043807583E0,2.788537145E-2,2.543997815E-1,-3.842965543E-1,4.617149385E-1
1.053844583E0,9.015763342E-2,2.584092173E-1,-2.122942740E-1,3.463705836E-1
1.063881583E0,1.563741347E-1,1.315696612E-1,-8.377949059E-2,2.208674915E-1
1.073917583E0,2.439069530E-1,4.345270604E-2,3.731985390E-2,2.505424333E-1
1.083954583E0,3.386818403E-1,3.226318181E-2,1.038231611E-1,3.557043022E-1
1.093991583E0,2.985988846E-1,-5.307810009E-3,1.250415373E-1,3.237666641E-1
1.104027583E0,3.095779091E-1,-3.560369611E-3,4.145325065E-2,3.123612172E-1
1.114064583E0,3.803818434E-1,-8.472615480E-3,2.226034999E-3,3.804827030E-1
1.124100583E0,4.134189042E-1,-8.146925569E-3,-1.384269834E-2,4.137308099E-1
1.134137583E0,4.440665004E-1,6.809082627E-3,-3.832615972E-2,4.457693517E-1
