"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709027158553584E9,"2024-02-27 11:45:58.554 UTC+02:00"
"PAUSE",6.069060654169880E2,1.709027765455421E9,"2024-02-27 11:56:05.455 UTC+02:00"
