X[s],a: EMG RMS 1-1,X[s].1,a: EMG RMS 1-2,X[s].2,a: EMG RMS 1-3,X[s].3,a: EMG RMS 1-4
579.0149999995944,2.489097e-05,579.0149999995944,3.92272e-05,579.0149999995944,3.064203e-05,579.0149999995944,6.509889e-05
579.0299999995943,2.497685e-05,579.0299999995943,3.938882e-05,579.0299999995943,3.035752e-05,579.0299999995943,7.958036e-05
579.0449999995943,2.525225e-05,579.0449999995943,3.935125e-05,579.0449999995943,3.157217e-05,579.0449999995943,8.9307e-05
579.0599999995943,2.472403e-05,579.0599999995943,4.192772e-05,579.0599999995943,3.192711e-05,579.0599999995943,9.839875e-05
579.0749999995943,2.432598e-05,579.0749999995943,4.399924e-05,579.0749999995943,3.271166e-05,579.0749999995943,9.984885e-05
579.0899999995943,2.39907e-05,579.0899999995943,4.39002e-05,579.0899999995943,3.268323e-05,579.0899999995943,9.992247e-05
579.1049999995943,2.096235e-05,579.1049999995943,4.29635e-05,579.1049999995943,3.257443e-05,579.1049999995943,9.99291e-05
579.1199999995943,2.053531e-05,579.1199999995943,4.186283e-05,579.1199999995943,3.295535e-05,579.1199999995943,9.996504e-05
579.1349999995942,2.049823e-05,579.1349999995942,3.727274e-05,579.1349999995942,3.295407e-05,579.1349999995942,0.0001001211
579.1499999995942,2.218279e-05,579.1499999995942,2.930111e-05,579.1499999995942,2.944212e-05,579.1499999995942,0.0001001288
579.1649999995942,2.296715e-05,579.1649999995942,2.769055e-05,579.1649999995942,2.866293e-05,579.1649999995942,0.0001001346
579.1799999995942,2.559522e-05,579.1799999995942,2.652496e-05,579.1799999995942,2.808254e-05,579.1799999995942,0.0001001624
579.1949999995942,2.585914e-05,579.1949999995942,2.538522e-05,579.1949999995942,2.304675e-05,579.1949999995942,0.0001000594
579.2099999995942,2.640466e-05,579.2099999995942,2.395015e-05,579.2099999995942,2.08586e-05,579.2099999995942,9.786532e-05
579.2249999995942,2.699191e-05,579.2249999995942,2.368995e-05,579.2249999995942,1.866979e-05,579.2249999995942,9.438815e-05
579.2399999995941,2.691404e-05,579.2399999995941,2.363279e-05,579.2399999995941,1.764015e-05,579.2399999995941,9.083684e-05
579.2549999995941,2.705811e-05,579.2549999995941,2.336242e-05,579.2549999995941,1.751835e-05,579.2549999995941,8.590061e-05
579.2699999995941,2.557981e-05,579.2699999995941,2.36602e-05,579.2699999995941,1.70951e-05,579.2699999995941,7.559219e-05
579.2849999995941,2.733882e-05,579.2849999995941,2.352705e-05,579.2849999995941,1.693116e-05,579.2849999995941,5.076767e-05
579.2999999995941,3.067511e-05,579.2999999995941,2.56491e-05,579.2999999995941,1.467697e-05,579.2999999995941,3.288389e-05
579.3149999995941,4.004638e-05,579.3149999995941,1.938859e-05,579.3149999995941,1.425237e-05,579.3149999995941,1.798025e-05
579.3299999995941,4.157142e-05,579.3299999995941,1.641408e-05,579.3299999995941,1.248194e-05,579.3299999995941,1.034556e-05
579.344999999594,4.380769e-05,579.344999999594,1.759217e-05,579.344999999594,1.24469e-05,579.344999999594,1.09643e-05
579.359999999594,4.419187e-05,579.359999999594,1.84428e-05,579.359999999594,1.147038e-05,579.359999999594,1.166764e-05
579.374999999594,4.907517e-05,579.374999999594,2.30724e-05,579.374999999594,1.018915e-05,579.374999999594,1.122333e-05
579.389999999594,4.97256e-05,579.389999999594,2.362445e-05,579.389999999594,1.016978e-05,579.389999999594,1.143594e-05
