"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709202499185155E9,"2024-02-29 12:28:19.185 UTC+02:00"
"PAUSE",6.496935240000021E2,1.709203148871445E9,"2024-02-29 12:39:08.871 UTC+02:00"
