"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709295205739527E9,"2024-03-01 14:13:25.740 UTC+02:00"
"PAUSE",4.897568295835517E2,1.709295695493989E9,"2024-03-01 14:21:35.494 UTC+02:00"
