"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709807018388372E9,"2024-03-07 12:23:38.388 UTC+02:00"
"PAUSE",3.344019159583404E2,1.709807352786918E9,"2024-03-07 12:29:12.787 UTC+02:00"
