"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709303850909979E9,"2024-03-01 16:37:30.910 UTC+02:00"
"PAUSE",7.974126792501193E2,1.709304648319477E9,"2024-03-01 16:50:48.319 UTC+02:00"
