"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.708095242919033E9,"2024-02-16 16:54:02.919 UTC+02:00"
"PAUSE",7.670122101251036E2,1.708096009930454E9,"2024-02-16 17:06:49.930 UTC+02:00"
