"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709303850884222E9,"2024-03-01 16:37:30.884 UTC+02:00"
"PAUSE",7.858395465416834E2,1.709304636716098E9,"2024-03-01 16:50:36.716 UTC+02:00"
