"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.708099146048435E9,"2024-02-16 17:59:06.048 UTC+02:00"
"PAUSE",2.475030249916017E0,1.708099148523462E9,"2024-02-16 17:59:08.523 UTC+02:00"
