"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709384684235033E9,"2024-03-02 15:04:44.235 UTC+02:00"
"PAUSE",5.958619921249337E2,1.709385280093509E9,"2024-03-02 15:14:40.094 UTC+02:00"
