X[s],a: EMG RMS 1-1,X[s].1,a: EMG RMS 1-2,X[s].2,a: EMG RMS 1-3,X[s].3,a: EMG RMS 1-4
282.0149999998644,3.611685e-06,282.0149999998644,0.0009510753,282.0149999998644,4.165909e-06,282.0149999998644,5.561867e-06
282.0299999998644,3.580347e-06,282.0299999998644,0.0009526722,282.0299999998644,4.114875e-06,282.0299999998644,5.415577e-06
282.0449999998644,3.592131e-06,282.0449999998644,0.0009524223,282.0449999998644,3.972038e-06,282.0449999998644,5.289249e-06
282.0599999998644,3.572469e-06,282.0599999998644,0.0009523463,282.0599999998644,3.504795e-06,282.0599999998644,5.433755e-06
282.07499999986436,3.572469e-06,282.07499999986436,0.000957612,282.07499999986436,3.496747e-06,282.07499999986436,5.487926e-06
282.08999999986435,3.607783e-06,282.08999999986435,0.0009542792,282.08999999986435,3.184716e-06,282.08999999986435,5.746233e-06
282.10499999986433,3.677393e-06,282.10499999986433,0.0009546772,282.10499999986433,3.297714e-06,282.10499999986433,5.469929e-06
282.1199999998643,3.592131e-06,282.1199999998643,0.0009603297,282.1199999998643,3.280583e-06,282.1199999998643,5.56946e-06
282.1349999998643,3.599965e-06,282.1349999998643,0.000955378,282.1349999998643,3.224279e-06,282.1349999998643,5.622323e-06
282.1499999998643,3.662038e-06,282.1499999998643,0.0009592075,282.1499999998643,3.184716e-06,282.1499999998643,5.485359e-06
282.1649999998643,3.812802e-06,282.1649999998643,0.0009561044,282.1649999998643,3.140172e-06,282.1649999998643,5.278585e-06
282.17999999986426,3.78313e-06,282.17999999986426,0.000952391,282.17999999986426,3.049133e-06,282.17999999986426,5.402556e-06
282.19499999986425,3.646619e-06,282.19499999986425,0.0009587074,282.19499999986425,3.007266e-06,282.19499999986425,5.381656e-06
282.20999999986424,3.642754e-06,282.20999999986424,0.0009543969,282.20999999986424,2.936162e-06,282.20999999986424,5.126963e-06
282.2249999998642,3.65048e-06,282.2249999998642,0.0009573199,282.2249999998642,3.025945e-06,282.2249999998642,5.294573e-06
282.2399999998642,3.741947e-06,282.2399999998642,0.0009586257,282.2399999998642,3.072146e-06,282.2399999998642,5.457037e-06
282.2549999998642,3.845909e-06,282.2549999998642,0.0009596757,282.2549999998642,3.348582e-06,282.2549999998642,5.405162e-06
282.2699999998642,3.86418e-06,282.2699999998642,0.0009611695,282.2699999998642,3.801702e-06,282.2699999998642,5.682137e-06
282.28499999986417,3.79057e-06,282.28499999986417,0.0009574426,282.28499999986417,3.768206e-06,282.28499999986417,5.709342e-06
282.29999999986416,3.745709e-06,282.29999999986416,0.000959494,282.29999999986416,3.889614e-06,282.29999999986416,5.711809e-06
282.31499999986414,3.834905e-06,282.31499999986414,0.0009616506,282.31499999986414,3.794284e-06,282.31499999986414,5.624828e-06
282.3299999998641,3.893234e-06,282.3299999998641,0.000960162,282.3299999998641,3.867824e-06,282.3299999998641,5.556798e-06
282.3449999998641,3.882364e-06,282.3449999998641,0.0009612242,282.3449999998641,3.860533e-06,282.3449999998641,5.307859e-06
282.3599999998641,3.900464e-06,282.3599999998641,0.0009621321,282.3599999998641,3.972038e-06,282.3599999998641,5.28392e-06
282.3749999998641,3.786851e-06,282.3749999998641,0.0009624106,282.3749999998641,4.094283e-06,282.3749999998641,5.181623e-06
282.3899999998641,3.73818e-06,282.3899999998641,0.0009619484,282.3899999998641,4.152361e-06,282.3899999998641,5.077266e-06
282.40499999986406,3.779404e-06,282.40499999986406,0.0009563151,282.40499999986406,4.172666e-06,282.40499999986406,5.154366e-06
282.41999999986405,3.603876e-06,282.41999999986405,0.0009547712,282.41999999986405,4.973552e-06,282.41999999986405,5.371176e-06
282.43499999986403,3.654337e-06,282.43499999986403,0.0009597145,282.43499999986403,5.074491e-06,282.43499999986403,5.214144e-06
282.449999999864,3.932833e-06,282.449999999864,0.0009512923,282.449999999864,5.102175e-06,282.449999999864,5.14616e-06
282.464999999864,3.936414e-06,282.464999999864,0.0009555398,282.464999999864,5.235713e-06,282.464999999864,5.104936e-06
282.479999999864,3.989731e-06,282.479999999864,0.0009526268,282.479999999864,5.157098e-06,282.479999999864,5.318464e-06
282.494999999864,4.028382e-06,282.494999999864,0.0009568121,282.494999999864,5.096651e-06,282.494999999864,5.454455e-06
282.50999999986396,4.021382e-06,282.50999999986396,0.0009540705,282.50999999986396,4.660651e-06,282.50999999986396,5.564399e-06
282.52499999986395,4.087396e-06,282.52499999986395,0.0009508383,282.52499999986395,4.559819e-06,282.52499999986395,5.410373e-06
282.53999999986394,4.192873e-06,282.53999999986394,0.0009578823,282.53999999986394,4.478776e-06,282.53999999986394,5.379038e-06
282.5549999998639,4.226336e-06,282.5549999998639,0.0009517237,282.5549999998639,4.469331e-06,282.5549999998639,5.634837e-06
282.5699999998639,4.20294e-06,282.5699999998639,0.0009531123,282.5699999998639,4.48192e-06,282.5699999998639,5.597212e-06
282.5849999998639,4.121716e-06,282.5849999998639,0.0009509812,282.5849999998639,4.535037e-06,282.5849999998639,5.559333e-06
282.5999999998639,3.989731e-06,282.5999999998639,0.0009490146,282.5999999998639,4.450379e-06,282.5999999998639,5.753582e-06
282.61499999986387,4.17604e-06,282.61499999986387,0.0009558771,282.61499999986387,4.575239e-06,282.61499999986387,5.946224e-06
282.62999999986386,4.325173e-06,282.62999999986386,0.0009495026,282.62999999986386,4.519479e-06,282.62999999986386,5.910582e-06
282.64499999986384,4.31539e-06,282.64499999986384,0.000958326,282.64499999986384,4.651575e-06,282.64499999986384,6.11211e-06
282.6599999998638,4.249604e-06,282.6599999998638,0.000954835,282.6599999998638,4.550541e-06,282.6599999998638,6.030905e-06
282.6749999998638,4.239647e-06,282.6749999998638,0.0009642089,282.6749999998638,3.925663e-06,282.6749999998638,6.01219e-06
282.6899999998638,4.219664e-06,282.6899999998638,0.0009628204,282.6899999998638,3.947135e-06,282.6899999998638,6.077441e-06
282.7049999998638,4.308857e-06,282.7049999998638,0.0009606548,282.7049999998638,4.186148e-06,282.7049999998638,6.320588e-06
282.7199999998638,4.229668e-06,282.7199999998638,0.0009650629,282.7199999998638,4.186148e-06,282.7199999998638,7.115304e-06
282.73499999986376,4.090841e-06,282.73499999986376,0.0009645103,282.73499999986376,4.252917e-06,282.73499999986376,6.900217e-06
282.74999999986375,4.010859e-06,282.74999999986375,0.0009675198,282.74999999986375,4.246287e-06,282.74999999986375,6.904299e-06
282.76499999986373,3.972038e-06,282.76499999986373,0.0009649987,282.76499999986373,4.299038e-06,282.76499999986373,6.784931e-06
282.7799999998637,3.896851e-06,282.7799999998637,0.0009656357,282.7799999998637,4.318654e-06,282.7799999998637,6.778699e-06
282.7949999998637,3.947135e-06,282.7949999998637,0.0009671255,282.7949999998637,4.347911e-06,282.7949999998637,6.667651e-06
282.8099999998637,3.853228e-06,282.8099999998637,0.0009611025,282.8099999998637,4.415424e-06,282.8099999998637,6.673986e-06
282.8249999998637,3.911283e-06,282.8249999998637,0.0009652783,282.8249999998637,4.485062e-06,282.8249999998637,6.749543e-06
282.83999999986366,3.911283e-06,282.83999999986366,0.0009606588,282.83999999986366,4.318654e-06,282.83999999986366,6.669763e-06
282.85499999986365,3.982663e-06,282.85499999986365,0.0009658863,282.85499999986365,4.531929e-06,282.85499999986365,6.749543e-06
282.86999999986364,4.01437e-06,282.86999999986364,0.0009609623,282.86999999986364,4.256228e-06,282.86999999986364,6.789081e-06
282.8849999998636,3.812802e-06,282.8849999998636,0.0009605348,282.8849999998636,4.20294e-06,282.8849999998636,6.701369e-06
282.8999999998636,3.730636e-06,282.8999999998636,0.0009618587,282.8999999998636,4.148967e-06,282.8999999998636,6.652846e-06
282.9149999998636,3.745709e-06,282.9149999998636,0.0009599411,282.9149999998636,4.239647e-06,282.9149999998636,6.446372e-06
282.9299999998636,3.816494e-06,282.9299999998636,0.0009577561,282.9299999998636,4.094283e-06,282.9299999998636,6.428867e-06
282.94499999986357,3.665883e-06,282.94499999986357,0.0009522559,282.94499999986357,4.090841e-06,282.94499999986357,6.235322e-06
282.95999999986356,3.568524e-06,282.95999999986356,0.0009534438,282.95999999986356,3.867824e-06,282.95999999986356,6.242096e-06
282.97499999986354,3.603876e-06,282.97499999986354,0.0009511243,282.97499999986354,3.96849e-06,282.97499999986354,5.28392e-06
282.9899999998635,3.73441e-06,282.9899999998635,0.0009455594,282.9899999998635,3.964939e-06,282.9899999998635,5.632336e-06
283.0049999998635,3.749468e-06,283.0049999998635,0.0009466173,283.0049999998635,4.01437e-06,283.0049999998635,5.733962e-06
283.0199999998635,3.775675e-06,283.0199999998635,0.0009409662,283.0199999998635,4.042345e-06,283.0199999998635,5.724127e-06
283.0349999998635,3.91848e-06,283.0349999998635,0.000944093,283.0349999998635,4.27604e-06,283.0349999998635,6.556871e-06
283.0499999998635,3.867824e-06,283.0499999998635,0.0009384964,283.0499999998635,4.360851e-06,283.0499999998635,6.728641e-06
283.06499999986346,3.871464e-06,283.06499999986346,0.0009405561,283.06499999986346,4.334932e-06,283.06499999986346,6.69506e-06
283.07999999986345,3.922073e-06,283.07999999986345,0.0009419371,283.07999999986345,4.199587e-06,283.07999999986345,6.859265e-06
283.09499999986343,3.797995e-06,283.09499999986343,0.0009350394,283.09499999986343,4.192873e-06,283.09499999986343,6.951067e-06
283.1099999998634,3.715501e-06,283.1099999998634,0.0009362893,283.1099999998634,4.010859e-06,283.1099999998634,7.065636e-06
283.1249999998634,3.775675e-06,283.1249999998634,0.0009292336,283.1249999998634,4.003829e-06,283.1249999998634,7.273898e-06
283.1399999998634,3.86418e-06,283.1399999998634,0.0009283743,283.1399999998634,3.972038e-06,283.1399999998634,7.250621e-06
283.1549999998634,3.947135e-06,283.1549999998634,0.0009297165,283.1549999998634,4.000309e-06,283.1549999998634,7.289374e-06
283.16999999986336,3.989731e-06,283.16999999986336,0.0009268355,283.16999999986336,3.893234e-06,283.16999999986336,7.438582e-06
283.18499999986335,3.932833e-06,283.18499999986335,0.0009260824,283.18499999986335,4.169289e-06,283.18499999986335,7.394897e-06
283.19999999986334,3.860533e-06,283.19999999986334,0.000926146,283.19999999986334,4.179412e-06,283.19999999986334,7.377733e-06
283.2149999998633,3.820184e-06,283.2149999998633,0.000927953,283.2149999998633,3.986198e-06,283.2149999998633,7.341366e-06
283.2299999998633,3.771943e-06,283.2299999998633,0.0009267191,283.2299999998633,4.007346e-06,283.2299999998633,7.19993e-06
283.2449999998633,4.01437e-06,283.2449999998633,0.0009252885,283.2449999998633,4.024883e-06,283.2449999998633,6.999535e-06
283.2599999998633,4.242968e-06,283.2599999998633,0.0009194494,283.2599999998633,4.179412e-06,283.2599999998633,6.838698e-06
283.27499999986327,4.246287e-06,283.27499999986327,0.0009304078,283.27499999986327,4.383405e-06,283.27499999986327,6.999535e-06
283.28999999986326,4.049309e-06,283.28999999986326,0.0009249767,283.28999999986326,4.114875e-06,283.28999999986326,6.300498e-06
283.30499999986324,4.128545e-06,283.30499999986324,0.0009284487,283.30499999986324,3.989731e-06,283.30499999986324,6.329497e-06
283.3199999998632,4.131956e-06,283.3199999998632,0.0009351016,283.3199999998632,4.097722e-06,283.3199999998632,6.174023e-06
283.3349999998632,4.073587e-06,283.3349999998632,0.0009305094,283.3349999998632,4.20629e-06,283.3349999998632,5.881913e-06
283.3499999998632,4.108022e-06,283.3499999998632,0.0009330594,283.3499999998632,4.229668e-06,283.3499999998632,5.692045e-06
283.3649999998632,4.239647e-06,283.3649999998632,0.0009307186,283.3649999998632,4.29248e-06,283.3649999998632,5.669728e-06
283.3799999998632,4.087396e-06,283.3799999998632,0.0009356943,283.3799999998632,4.31539e-06,283.3799999998632,5.577042e-06
283.39499999986316,4.239647e-06,283.39499999986316,0.0009312896,283.39499999986316,4.376973e-06,283.39499999986316,5.738873e-06
283.40999999986315,4.196231e-06,283.40999999986315,0.0009286476,283.40999999986315,4.29248e-06,283.40999999986315,5.81689e-06
283.42499999986313,4.155752e-06,283.42499999986313,0.0009298313,283.42499999986313,4.38019e-06,283.42499999986313,5.780451e-06
283.4399999998631,4.121716e-06,283.4399999998631,0.0009271099,283.4399999998631,4.165909e-06,283.4399999998631,5.910582e-06
283.4549999998631,4.15914e-06,283.4549999998631,0.000932273,283.4549999998631,4.142171e-06,283.4549999998631,5.831403e-06
283.4699999998631,4.101159e-06,283.4699999998631,0.0009326554,283.4699999998631,4.070128e-06,283.4699999998631,5.881913e-06
283.4849999998631,4.045829e-06,283.4849999998631,0.0009325629,283.4849999998631,4.028382e-06,283.4849999998631,6.322817e-06
283.49999999986306,3.730636e-06,283.49999999986306,0.0009292069,283.49999999986306,3.842245e-06,283.49999999986306,6.404719e-06
