X[s],a: EMG RMS 1-1,X[s].1,a: EMG RMS 1-2,X[s].2,a: EMG RMS 1-3,X[s].3,a: EMG RMS 1-4
387.0149999997689,0.0005832958,387.0149999997689,0.005088096,387.0149999997689,0.000228362,387.0149999997689,0.0002834733
387.0299999997689,0.000583864,387.0299999997689,0.004946974,387.0299999997689,0.0002284172,387.0299999997689,0.0002825894
387.0449999997689,0.0005838384,387.0449999997689,0.004892362,387.0449999997689,0.0002283045,387.0449999997689,0.0002848592
387.0599999997689,0.0005838743,387.0599999997689,0.004978932,387.0599999997689,0.0002284334,387.0599999997689,0.0002906728
387.07499999976886,0.0005852469,387.07499999976886,0.004980131,387.07499999976886,0.0002284818,387.07499999976886,0.0002921276
387.08999999976885,0.0005867136,387.08999999976885,0.004829098,387.08999999976885,0.0002284674,387.08999999976885,0.0002909127
387.10499999976884,0.0005864396,387.10499999976884,0.004842821,387.10499999976884,0.0002282147,387.10499999976884,0.0002899788
387.1199999997688,0.0005088711,387.1199999997688,0.004808825,387.1199999997688,0.0001887167,387.1199999997688,0.0002855144
387.1349999997688,0.0004951568,387.1349999997688,0.004619192,387.1349999997688,0.0001823944,387.1349999997688,0.0002537857
387.1499999997688,0.0004665401,387.1499999997688,0.004407212,387.1499999997688,0.0001689136,387.1499999997688,0.0002517489
387.1649999997688,0.0003270639,387.1649999997688,0.004226105,387.1649999997688,0.0001183336,387.1649999997688,0.0001810459
387.17999999976877,0.0002732262,387.17999999976877,0.004072054,387.17999999976877,9.656497e-05,387.17999999976877,0.0001622785
387.19499999976875,0.0001431567,387.19499999976875,0.003968163,387.19499999976875,7.273549e-05,387.19499999976875,0.0001293579
387.20999999976874,0.000104485,387.20999999976874,0.003876043,387.20999999976874,3.701828e-05,387.20999999976874,0.0001256122
387.2249999997687,0.0001005252,387.2249999997687,0.003751279,387.2249999997687,1.900777e-05,387.2249999997687,0.0001234554
387.2399999997687,9.150863e-05,387.2399999997687,0.003638242,387.2399999997687,2.361311e-05,387.2399999997687,0.0001153034
387.2549999997687,0.0002259831,387.2549999997687,0.003497519,387.2549999997687,0.0001069208,387.2549999997687,0.0001103113
387.2699999997687,0.000316683,387.2699999997687,0.003378012,387.2699999997687,0.0001157583,387.2699999997687,0.0001783847
387.2849999997687,0.0003731602,387.2849999997687,0.003256761,387.2849999997687,0.0001348275,387.2849999997687,0.0001970239
387.29999999976866,0.0003857762,387.29999999976866,0.00308101,387.29999999976866,0.000141812,387.29999999976866,0.0001986634
387.31499999976865,0.0003854173,387.31499999976865,0.002775534,387.31499999976865,0.0001419659,387.31499999976865,0.0001921765
387.32999999976863,0.0003844569,387.32999999976863,0.002382577,387.32999999976863,0.0001421813,387.32999999976863,0.0001895224
387.3449999997686,0.0003844825,387.3449999997686,0.002291197,387.3449999997686,0.0001426004,387.3449999997686,0.0001896636
387.3599999997686,0.0003846957,387.3599999997686,0.002173364,387.3599999997686,0.0001431948,387.3599999997686,0.0001898526
