"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709386054108256E9,"2024-03-02 15:27:34.108 UTC+02:00"
"PAUSE",6.477485393746756E2,1.709386701847901E9,"2024-03-02 15:38:21.848 UTC+02:00"
