"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709386054123052E9,"2024-03-02 15:27:34.123 UTC+02:00"
"PAUSE",6.578422975833528E2,1.709386711891816E9,"2024-03-02 15:38:31.892 UTC+02:00"
