"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709382238884910E9,"2024-03-02 14:23:58.885 UTC+02:00"
"PAUSE",5.936716838332359E2,1.709382832547241E9,"2024-03-02 14:33:52.547 UTC+02:00"
