X[s],a: EMG RMS 1-1,X[s].1,a: EMG RMS 1-2,X[s].2,a: EMG RMS 1-3,X[s].3,a: EMG RMS 1-4
190.00499999994807,0.0003032346,190.00499999994807,1.206415e-05,190.00499999994807,3.91848e-06,190.00499999994807,6.665538e-06
190.01999999994806,0.0003333785,190.01999999994806,1.307609e-05,190.01999999994806,3.932833e-06,190.01999999994806,6.463831e-06
190.03499999994804,0.0003416374,190.03499999994804,1.353972e-05,190.03499999994804,3.989731e-06,190.03499999994804,6.367219e-06
190.04999999994803,0.0003393485,190.04999999994803,1.330993e-05,190.04999999994803,3.950702e-06,190.04999999994803,6.228541e-06
190.06499999994801,0.0003373452,190.06499999994801,1.316413e-05,190.06499999994801,3.939991e-06,190.06499999994801,5.972226e-06
190.079999999948,0.0003387305,190.079999999948,1.38351e-05,190.079999999948,3.957827e-06,190.079999999948,6.100575e-06
190.094999999948,0.0003398619,190.094999999948,1.536715e-05,190.094999999948,4.239647e-06,190.094999999948,6.951067e-06
190.10999999994797,0.0003409484,190.10999999994797,1.576622e-05,190.10999999994797,4.572159e-06,190.10999999994797,7.451826e-06
190.12499999994796,0.000342961,190.12499999994796,1.544578e-05,190.12499999994796,5.454455e-06,190.12499999994796,7.588568e-06
190.13999999994795,0.0003471055,190.13999999994795,1.601092e-05,190.13999999994795,5.828986e-06,190.13999999994795,7.642211e-06
190.15499999994793,0.0003661064,190.15499999994793,1.616938e-05,190.15499999994793,5.865124e-06,190.15499999994793,7.711938e-06
190.16999999994792,0.0003881438,190.16999999994792,1.629003e-05,190.16999999994792,6.242096e-06,190.16999999994792,7.71011e-06
190.1849999999479,0.0003970553,190.1849999999479,1.654571e-05,190.1849999999479,6.33617e-06,190.1849999999479,7.708283e-06
190.1999999999479,0.0004682751,190.1999999999479,1.766967e-05,190.1999999999479,6.404719e-06,190.1999999999479,8.838821e-06
190.21499999994788,0.0005316946,190.21499999994788,1.808649e-05,190.21499999994788,6.548272e-06,190.21499999994788,1.021815e-05
190.22999999994786,0.0005579612,190.22999999994786,2.174215e-05,190.22999999994786,6.53104e-06,190.22999999994786,1.156943e-05
190.24499999994785,0.0005684398,190.24499999994785,2.222149e-05,190.24499999994785,6.826328e-06,190.24499999994785,1.305129e-05
190.25999999994784,0.0005798787,190.25999999994784,2.316502e-05,190.25999999994784,6.857212e-06,190.25999999994784,1.350117e-05
190.27499999994782,0.0005937536,190.27499999994782,2.342384e-05,190.27499999994782,6.861319e-06,190.27499999994782,1.345414e-05
190.2899999999478,0.0005960036,190.2899999999478,2.389893e-05,190.2899999999478,6.898175e-06,190.2899999999478,1.347925e-05
190.3049999999478,0.0005959837,190.3049999999478,2.567271e-05,190.3049999999478,6.920602e-06,190.3049999999478,1.357298e-05
190.31999999994778,0.0006127078,190.31999999994778,2.51309e-05,190.31999999994778,6.898175e-06,190.31999999994778,1.363924e-05
190.33499999994777,0.0007124757,190.33499999994777,2.783111e-05,190.33499999994777,6.936866e-06,190.33499999994777,1.371545e-05
190.34999999994776,0.0009308461,190.34999999994776,2.854918e-05,190.34999999994776,6.520246e-06,190.34999999994776,1.360511e-05
190.36499999994774,0.001158327,190.36499999994774,3.000326e-05,190.36499999994774,6.307202e-06,190.36499999994774,1.378307e-05
190.37999999994773,0.001612109,190.37999999994773,3.348035e-05,190.37999999994773,5.855509e-06,190.37999999994773,1.428396e-05
190.39499999994771,0.001793293,190.39499999994771,3.959713e-05,190.39499999994771,8.60299e-06,190.39499999994771,1.498848e-05
190.4099999999477,0.00217129,190.4099999999477,4.479217e-05,190.4099999999477,1.652782e-05,190.4099999999477,1.598715e-05
190.4249999999477,0.002632044,190.4249999999477,5.568245e-05,190.4249999999477,3.300575e-05,190.4249999999477,1.785603e-05
190.43999999994767,0.002978032,190.43999999994767,6.387319e-05,190.43999999994767,4.647303e-05,190.43999999994767,2.072649e-05
190.45499999994766,0.00321458,190.45499999994766,0.0001254587,190.45499999994766,9.976178e-05,190.45499999994766,2.873754e-05
190.46999999994765,0.003425394,190.46999999994765,0.0001989367,190.46999999994765,0.0002737507,190.46999999994765,4.507151e-05
190.48499999994763,0.0036388,190.48499999994763,0.0002144801,190.48499999994763,0.000594002,190.48499999994763,4.816191e-05
190.49999999994762,0.003804576,190.49999999994762,0.0002640543,190.49999999994762,0.0008671493,190.49999999994762,5.844963e-05
190.5149999999476,0.003819858,190.5149999999476,0.0003620926,190.5149999999476,0.0009323983,190.5149999999476,7.775135e-05
190.5299999999476,0.003963761,190.5299999999476,0.0003836121,190.5299999999476,0.001043611,190.5299999999476,8.22939e-05
190.54499999994758,0.004065541,190.54499999994758,0.0004406075,190.54499999994758,0.001053683,190.54499999994758,9.400786e-05
190.55999999994756,0.004147252,190.55999999994756,0.0004709446,190.55999999994756,0.001058916,190.55999999994756,0.0001003949
190.57499999994755,0.004216892,190.57499999994755,0.0005383363,190.57499999994755,0.001069335,190.57499999994755,0.0001108413
190.58999999994754,0.004207947,190.58999999994754,0.0005522145,190.58999999994754,0.001204906,190.58999999994754,0.0001135234
190.60499999994752,0.004141398,190.60499999994752,0.0005587428,190.60499999994752,0.001510322,190.60499999994752,0.0001151146
190.6199999999475,0.003994397,190.6199999999475,0.0005684036,190.6199999999475,0.001779571,190.6199999999475,0.0001167532
190.6349999999475,0.003692113,190.6349999999475,0.0005694331,190.6349999999475,0.001820806,190.6349999999475,0.0001170996
190.64999999994748,0.003591601,190.64999999994748,0.000570616,190.64999999994748,0.001820844,190.64999999994748,0.000117399
190.66499999994747,0.00344548,190.66499999994747,0.0005702983,190.66499999994747,0.001841258,190.66499999994747,0.0001172604
190.67999999994746,0.003243975,190.67999999994746,0.0005692918,190.67999999994746,0.001889875,190.67999999994746,0.0001169262
190.69499999994744,0.003001573,190.69499999994744,0.0005637236,190.69499999994744,0.001896574,190.69499999994744,0.0001154384
190.70999999994743,0.002787314,190.70999999994743,0.0005554585,190.70999999994743,0.001894038,190.70999999994743,0.0001140099
