"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709382237878435E9,"2024-03-02 14:23:57.878 UTC+02:00"
"PAUSE",6.009086837503128E2,1.709382838784035E9,"2024-03-02 14:33:58.784 UTC+02:00"
