"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709110258790681E9,"2024-02-28 10:50:58.791 UTC+02:00"
"PAUSE",6.326708495833445E2,1.709110891474105E9,"2024-02-28 11:01:31.474 UTC+02:00"
"START",6.326708495833445E2,1.709110891605716E9,"2024-02-28 11:01:31.606 UTC+02:00"
"PAUSE",6.336066812083591E2,1.709110892541548E9,"2024-02-28 11:01:32.542 UTC+02:00"
