"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.916860834E-1,2.077149978E0,3.225722642E0,2.374838451E0,4.512172011E0
6.017220834E-1,2.744049774E0,3.587368544E0,2.246328346E0,5.044305033E0
6.117590833E-1,2.822291366E0,2.623996789E0,7.841484565E-1,3.932629719E0
6.217960834E-1,2.335789576E0,1.546983812E0,-5.133241385E-1,2.848257981E0
6.318320833E-1,1.345491099E0,5.690521967E-1,-9.878180873E-1,1.763505394E0
6.418690834E-1,-5.063560847E-1,-6.519350168E-1,-1.643290962E0,1.838972794E0
6.519060833E-1,-2.251979679E0,-6.902538675E-1,-4.827216829E0,5.371208914E0
6.619420834E-1,3.515600404E-1,8.118569496E-1,-2.944432685E0,3.074473939E0
6.719790834E-1,2.745696642E0,1.213653051E0,3.460957004E0,4.581487440E0
6.820160834E-1,-1.005368980E-1,5.902737889E-1,-3.398126918E0,3.450477846E0
6.920520834E-1,-2.181253952E0,-9.742104471E-1,-1.637276516E0,2.896140395E0
7.020890834E-1,-1.459041250E0,-1.749305660E0,-8.068502712E-1,2.416584164E0
7.121260834E-1,-1.039794864E0,-1.386122231E0,-1.594921625E0,2.355054817E0
7.221620834E-1,-1.010874828E0,-1.374902886E0,-1.517466483E0,2.283622208E0
7.321990834E-1,-6.077197608E-1,-1.247682092E0,-1.558739054E0,2.087031708E0
7.422360834E-1,-2.416647651E-1,-1.238741114E0,-1.421159917E0,1.900678015E0
7.522720834E-1,-8.611340672E-2,-1.211315042E0,-1.178602794E0,1.692277813E0
7.623090834E-1,-2.059287027E-1,-1.241798916E0,-9.215831673E-1,1.560059843E0
7.723450834E-1,-3.836898326E-1,-1.539574805E0,-1.304292787E0,2.053944532E0
7.823820834E-1,-6.140780962E-1,-1.895446874E0,-1.924728561E0,2.770269084E0
7.924190834E-1,-5.496639991E-1,-2.183780387E0,-2.087002829E0,3.070278179E0
8.024550834E-1,-3.606784809E-1,-2.450502591E0,-1.568658271E0,2.931849363E0
8.124920834E-1,-6.043524224E-1,-2.644774577E0,-6.966974992E-1,2.800975155E0
8.225290834E-1,-9.041061321E-1,-2.887340764E0,-3.185568935E-1,3.042305553E0
8.325650834E-1,-9.404334211E-1,-2.979936101E0,-5.767810464E-1,3.177595091E0
8.426020833E-1,-8.418841562E-1,-2.534373591E0,-1.252849569E0,2.949822108E0
8.526390834E-1,-6.184953752E-1,-1.994844424E0,-2.400942176E0,3.182210574E0
8.626750833E-1,-1.470989889E-1,-1.491681139E0,-3.485518234E0,3.794151827E0
8.727120834E-1,1.720958358E-1,-9.452524039E-1,-3.899766566E0,4.016378761E0
8.827490833E-1,4.201040259E-1,-5.041776314E-1,-3.936171330E0,3.990504632E0
8.927850834E-1,1.034995762E0,-6.063112396E-1,-2.909389152E0,3.146962787E0
9.028220834E-1,1.112010024E0,-1.068968670E0,-1.400334474E0,2.083313934E0
9.128590834E-1,1.019749147E0,-1.665055468E0,-2.905113083E-1,1.974004776E0
9.228950834E-1,7.458573800E-1,-2.151210081E0,6.415646875E-1,2.365504870E0
9.329320834E-1,4.455470154E-1,-2.522791426E0,1.254516610E0,2.852507782E0
9.429690834E-1,3.367534286E-1,-2.658802632E0,1.000080868E0,2.860558696E0
9.530050834E-1,1.503729034E0,-1.419375639E0,8.540220988E-1,2.237226399E0
9.630420834E-1,2.216069589E0,-1.537004954E-1,6.403057820E-1,2.311834718E0
9.730790834E-1,2.137397057E0,2.562369767E-1,-3.651118398E-2,2.153011062E0
9.831150834E-1,2.171671681E0,8.242869607E-1,-6.351093614E-1,2.408105227E0
9.931520834E-1,2.088575145E0,1.143810691E0,-2.916047376E-1,2.399058640E0
1.003189083E0,2.150438102E0,8.281019765E-1,4.090934265E-1,2.340404740E0
1.013225083E0,1.833228407E0,3.658304626E-1,7.442505652E-1,2.012080322E0
1.023262083E0,1.206650718E0,2.656442696E-1,7.651420820E-1,1.453277413E0
1.033298083E0,7.566349679E-1,1.924207574E-1,6.480545121E-1,1.014641253E0
1.043335083E0,4.410127920E-1,1.501749167E-1,5.603228885E-1,7.287019471E-1
1.053372083E0,3.227902776E-1,1.395765460E-1,5.542634189E-1,6.564168744E-1
1.063408083E0,1.010556740E-1,4.364999110E-1,7.518794274E-1,8.752525892E-1
1.073445083E0,2.003291166E-1,9.291462484E-1,8.147428429E-1,1.251898720E0
1.083482083E0,3.469965810E-1,1.491567995E0,5.898162442E-1,1.641056036E0
1.093518083E0,4.467576814E-1,1.661253608E0,4.407490826E-1,1.775842260E0
1.103555083E0,1.015652003E0,2.106231397E0,9.430120432E-1,2.521315412E0
