Time (ms),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.9045000188,-0.09841974914,0.01960322902,-0.5153595543,0.5250392403
10.94149996,0.09030330218,0.06739661559,-0.4161749893,0.4311596131
20.97850002,0.1739516507,0.1157962123,-0.2668154669,0.3389077056
31.016499969999998,0.1031036612,0.08891641572,-0.1467452323,0.200176565
41.05350003,0.08486431355,0.074480225,0.01355910838,0.1137238104
51.09049997,0.08587277552,0.09819667786,0.1254157591,0.1809580994
61.12850003,0.04660981877,0.05394933522,0.144540832,0.1611677949
71.16549998,0.02291408697,-0.02109295338,0.122780419,0.1266688571
81.20250003,0.03974547995,-0.1132114506,0.1315196675,0.1780279716
91.24049998,0.04710986534,-0.133882235,0.1500758064,0.206558805
101.2775,0.07010350185,-0.1617969887,0.1811134118,0.2527742757
111.3145,0.05997002131,-0.1782856983,0.1728852099,0.2554828556
121.3525,0.08213456833,-0.1008700249,0.06668632507,0.1461776836
131.3895,0.06816725121,-0.0670991385,-0.1238054359,0.1564508053
141.4265,0.09871136075,-0.03964748427,-0.246239115,0.2682341468
151.46450000000002,0.1445317597,-0.01738713428,-0.2896289635,0.3241553308
161.5015001,0.1692354875,-0.02683418825,-0.2319660616,0.2883903217
171.5385,0.1363220954,-0.08573304534,-0.1298882943,0.2068933004
181.5765001,0.08399645884,-0.1156207958,-0.02751641214,0.1455359971
191.6135,0.0476389744,-0.1358657567,0.02934308231,0.1469353334
201.6505001,0.1691239884,-0.1001136875,0.1421089751,0.2425296573
211.6885,0.1275848934,-0.1061892369,0.1661661744,0.2348728519
221.7255001,0.09293316051,-0.05709309071,0.08983545184,0.1413032262
231.76250000000002,0.06254813178,0.002234805822,-0.007164593339,0.06299678202
241.8005,0.04499805205,0.05380403191,-0.1389415383,0.1556420561
251.8375,0.05685650689,0.06927678779,-0.1627110547,0.1857601222
261.8745,0.07760378933,0.06985098436,-0.1285650694,0.1656215119
271.9125,0.07739752879,0.05712437332,-0.1461669427,0.1749809893
281.9495,0.1026399862,0.03815819845,-0.1927634043,0.2216951621
291.9865,0.09238593422,0.03242061809,-0.1857093233,0.2099385864
302.0245,0.02335813275,0.07871302441,-0.1644845152,0.1838382395
312.06149999999997,0.01294775,0.09694347337,-0.09624107659,0.1372152546
322.0985,-0.0326413048,0.1153541628,-0.04966566503,0.1297640779
332.1365,-0.03108443795,0.09209437743,0.01404968977,0.09820901394
342.17350000000005,0.03208211455,0.01062336758,0.03845245957,0.05119286728
352.2109167,0.1772573558,0.03468787596,0.05529244065,0.1888932845
362.2479166,0.3189108693,0.1331146418,0.03034412563,0.3469069275
372.2849167,0.299433264,0.189580911,0.09602823794,0.3671820038
382.3229166,0.1663469265,0.2669141386,0.06540052235,0.3212346271
392.3599167,0.05160893233,0.3822057362,0.09261755705,0.3966392801
402.3969166,-0.01543211773,0.4403883094,0.2456672573,0.5045120559
412.4349167,0.02389669786,0.5563409346,0.4675433636,0.7271059651
422.4719167,0.2587377395,0.5452882352,0.5533576852,0.8188340522
432.50891670000004,0.6969530225,0.2726699916,0.2566272783,0.7911700195
442.5469167,1.088119178,-0.00688845858,0.003483771086,1.088146559
452.5839167,0.9455184522,-0.05007906318,-0.1283838058,0.9555079579
462.6209167,0.2272634201,0.2250347722,-0.4274308795,0.5338412381
472.65891669999996,0.1961391846,0.10771843,-0.4616996562,0.5130695981
482.6959167,0.6640897702,0.3156695384,-0.41266666,0.8431822179
492.73291670000003,0.817584005,0.4298368625,-0.2632229376,0.9604632468
502.7709167,0.8214366623,0.3115617232,-0.1696283108,0.8947640255
512.8079167000001,0.6360406767,0.2537387538,-0.1389000231,0.6987305017
522.8449167,-0.1229606594,0.3138412602,-0.1557329875,0.3713063746
532.8829167,-0.3477512372,0.3821576428,-0.2221544337,0.5624304218
542.9199166999999,-0.2202616169,0.426360839,-0.2504877019,0.5413343087
552.9569167000001,0.01874790927,0.5101675192,-0.1879692721,0.5440173058
562.9949167,0.2696316504,0.5473976183,-0.0781047678,0.6151794325
573.0319165999999,0.4587303305,0.5490548654,-0.05695889711,0.7177318979
583.0689167,0.505602671,0.4510055374,-0.06355572581,0.6804993651
593.1069166,0.4183619942,0.3175315842,-0.05606778145,0.5282013454
603.1439167,0.3594979646,0.3018739101,-0.09264211535,0.4784863694
613.1809165999999,0.2719533056,0.3335513471,-0.1531912029,0.4568179574
623.2189166999999,0.1458071562,0.3397441332,-0.2666207546,0.4558206112
633.2559166,-0.01797536418,0.2713564146,-0.3484256405,0.4419930366
643.2929167,-0.16927735,0.1683280362,-0.3619707155,0.4336034454
653.3309167,-0.254770093,-0.01356232435,-0.382230733,0.4595563841
663.3679166999999,-0.1615465451,-0.08144762099,-0.3595908988,0.4025377196
673.4049167000001,0.04545132089,-0.0410316664,-0.3744673848,0.379440697
683.4429167000001,0.1252336092,-0.0421290426,-0.4028562015,0.4239710276
693.4799167,0.1478019795,-0.02420718044,-0.455864135,0.4798369748
703.5179167,0.13914144,-0.04583793148,-0.5506708896,0.5698244335
713.5549167,0.130558166,-0.1403486708,-0.6341913486,0.6625268679
723.5919167,0.193385146,-0.1932690422,-0.6857795781,0.7382712016
733.6299167,0.2611892394,-0.1800604744,-0.735859226,0.8013303899
743.6669167,0.2336963258,-0.2647585626,-0.639766084,0.7307610494
753.7039167,0.2801724991,-0.2640492953,-0.3636102748,0.5295574488
763.7419166,0.3774620363,-0.2029840448,-0.1959817117,0.4712631353
773.7789167,0.2878227037,-0.2796207961,-0.1504161143,0.4285495372
783.8159166,0.178977296,-0.2990490472,-0.1135932738,0.3665605502
793.8539167,0.1105854295,-0.2860615772,-0.1455757892,0.3394888416
803.8909166,0.02133395003,-0.3288843188,-0.1335539138,0.3556074809
813.9279167,-0.02694362255,-0.2926716352,-0.01082553506,0.2941085464
823.9659166,-0.1200647162,-0.3004826383,0.09559378982,0.3374070607
834.0029167,-0.2056154015,-0.3861366,0.2257761991,0.4922946874
844.0399166,-0.2124065953,-0.3906906308,0.3517796034,0.5670137742
854.0779167,-0.1972118928,-0.3428572639,0.3240281332,0.5113099502
864.1149167,-0.2398307128,-0.3270386087,0.1923213547,0.4488435428
874.1519167,-0.2866192188,-0.2943246431,0.1031390369,0.4235743537
884.1899167,-0.314398171,-0.2989801962,0.07475255907,0.4402536913
894.2269167,-0.2738447703,-0.3113546221,0.1323160583,0.435247284
904.2639167,-0.2255515564,-0.3188885402,0.2261673778,0.4513480791
914.3019167000001,-0.2182315002,-0.3436218604,0.2873380244,0.4982610871
924.3389167,-0.1500430254,-0.3190395446,0.2442738658,0.4289159148
934.3759167,-0.1211635908,-0.2528761068,0.2588293397,0.381601321
944.4139167,-0.1799316895,-0.2302340067,0.2971952605,0.4167830774
954.4509167,-0.257000623,-0.1963720134,0.2008606285,0.3807312437
964.4879167,-0.3379429715,-0.166219311,0.08763222098,0.386670037
974.5259167,-0.4076882675,-0.2386764359,0.05254366457,0.4753283088
984.5629167,-0.3803107998,-0.2426973468,0.08923552752,0.4598926896
994.5999167,-0.3020119044,-0.2489763246,0.02057284355,0.3919485202
1004.6379169999999,-0.1174533497,-0.2311022086,-0.1117747897,0.2823067902
1014.674917,0.0891148556,-0.2034625481,-0.1356764531,0.2602817049
1024.712917,0.253048892,-0.1597385678,-0.1517481101,0.3355259166
1034.749917,0.2811441785,-0.1766897373,-0.1414119869,0.3609136495
1044.786917,0.1506974019,-0.1724207035,-0.09949446738,0.2496752991
1054.824917,-0.01159988914,-0.1263941627,-0.09768767774,0.1601653027
1064.861917,-0.1663216007,-0.07711572954,-0.02619260252,0.1851911527
1074.898917,-0.3281922278,-0.09082964296,0.05512170196,0.3449616855
1084.936917,-0.4098820331,-0.1559483478,0.1037641042,0.4506552536
1094.9739169999998,-0.3432905791,-0.1654497078,0.09512718201,0.3927737367
1105.010917,-0.1950060307,-0.1310804777,0.0113471067,0.2352407288
1115.048917,-0.1393190857,-0.1556085149,-0.03757011473,0.2122152942
1125.085917,-0.1491006735,-0.1734120989,-0.1245158726,0.2603977139
1135.122917,-0.2175540272,-0.1780714344,-0.2059623241,0.3485106447
1145.160917,-0.2044306825,-0.1509454518,-0.2667955863,0.3684512427
1155.197917,-0.1485554207,-0.1371438027,-0.2596888804,0.3291131269
1165.234917,-0.09454779603,-0.1037162302,-0.2890705544,0.3213380269
1175.272917,0.01489980184,-0.001383744726,-0.288178854,0.2885670992
1185.309917,0.1099536744,0.1398421466,-0.249760893,0.3066368212
1195.3469169999998,0.08133769333,0.2108961682,-0.3202496624,0.391985791
1205.3849169999999,-0.01521284714,0.242097386,-0.4348971891,0.4979740356
1215.4219170000001,-0.1296603991,0.2933600718,-0.549311412,0.6360935294
1225.4589170000002,-0.2967349385,0.2716017783,-0.6260637188,0.7441605537
1235.4969170000002,-0.399714858,0.2162102639,-0.671879577,0.8111356311
1245.533917,-0.389316389,0.1727377322,-0.637754057,0.7669001318
1255.570917,-0.3861056098,0.1377422561,-0.5755367589,0.7066067024
1265.608917,-0.3043670898,0.1131956265,-0.5632231075,0.6501329433
1275.645917,-0.2168682584,0.1696377394,-0.5195660412,0.5880116286
1285.6829169999999,-0.2226417261,0.2180436219,-0.4920163,0.5824022653
1295.7209169999999,-0.2665315846,0.2775360079,-0.4409730309,0.5852542484
1305.757917,-0.4022678255,0.1736098261,-0.2771165067,0.5184142488
1315.7949170000002,-0.4738079242,0.04262759082,-0.1280931991,0.4926651279
1325.832917,-0.3873419304,0.0009329232574,0.07585125089,0.394699954
1335.869917,-0.2906704257,-0.02509142563,0.2605560225,0.3911627754
1345.907917,-0.2736453802,-0.06891294479,0.5330672622,0.6031513028
1355.94525,-0.2100756211,-0.0826656691,0.7470332551,0.7803999383
1365.98225,-0.1987674715,-0.1641835298,0.9589626628,0.9930126524
1376.02025,-0.1654411928,-0.279157258,1.18734789,1.23089178
1386.0572499999998,-0.009436748251,-0.3623833097,1.321640307,1.370453872
1396.0942499999999,0.1903266502,-0.3536547323,1.339448587,1.398362764
1406.1322499999999,0.3906358132,-0.2948760355,1.242783587,1.335686812
1416.1692500000001,0.5238285153,-0.2662008514,1.032609513,1.188083168
1426.20625,0.7368933792,-0.103586422,0.6317051125,0.9761113401
1436.24425,0.6720822562,-0.0869589141,0.5334970325,0.8624821711
1446.28125,0.4303451318,-0.1178642993,0.4223315227,0.6143719074
1456.31825,0.3038479301,-0.03065943673,-0.03488624275,0.3073769927
1466.35625,0.1392276864,0.06369269684,-0.3678302103,0.3984221027
1476.39325,-0.1092153903,0.1381131341,-0.5742918867,0.6006782919
1486.43025,-0.4081121906,0.165869282,-0.7123212594,0.8375379128
1496.46825,-0.6933751843,0.1183066412,-0.7283297664,1.012536348
1506.50525,-0.8510700589,0.09352329075,-0.7044579238,1.108750566
1516.5422500000002,-0.8732136838,-0.06241698056,-0.6619720548,1.097544996
1526.58025,-0.6883808582,-0.1384420399,-0.6705195147,0.9708917673
1536.61725,-0.408810275,-0.1170445928,-0.5973053581,0.7332114077
1546.65425,-0.08473931104,-0.1730618689,-0.4207469273,0.4627733118
1556.69225,0.200515058,-0.1871197448,-0.2048776656,0.3423374728
1566.72925,0.3827051615,-0.136915405,-0.0330087018,0.4077973065
1576.76625,0.3413340642,-0.07089237347,0.08313103437,0.3583928583
1586.80425,0.1420861709,-0.05692059785,0.1156438923,0.1918383284
1596.84125,-0.1033624736,0.003046691716,0.1108047366,0.1515611195
1606.87925,-0.2666102296,0.05260447562,0.04546327114,0.2755270484
1616.91625,-0.3719223111,0.06651565947,-0.03638137579,0.3795709986
1626.9532499999998,-0.337560856,0.1130373497,-0.05931941807,0.3608927365
1636.9912499999998,-0.214799075,0.2091951035,-0.03955290556,0.302432912
1647.02825,-0.09300953977,0.2444440198,-0.009709886312,0.2617211019
1657.06525,-0.02659123644,0.2318073097,0.06527129889,0.2422850906
1667.1032500000001,-0.003125482947,0.2992856401,0.07507649481,0.3085743721
1677.1402500000002,-0.1616468614,0.2795622508,0.09766019583,0.3373755678
1687.17725,-0.3847831158,0.2072984129,0.06254883528,0.4415235384
1697.21525,-0.5145581934,0.15486548,-0.02159669101,0.5377916589
1707.25225,-0.5657548787,0.1832404827,-0.1415382868,0.611300862
1717.28925,-0.6071893452,0.1589711025,-0.2320362282,0.6691722675
1727.32725,-0.5761747632,0.08740710318,-0.243885026,0.6317414545
1737.3642499999999,-0.4897937733,0.05746760488,-0.2350487137,0.5463042776
1747.4012500000001,-0.3427494559,0.0902770628,-0.1699522465,0.39307875
1757.43925,-0.2408364339,0.1373339926,-0.05252086043,0.2821723838
1767.4762500000002,-0.2182207925,0.1254885569,0.1032097882,0.2720660813
1777.51325,-0.1478627083,0.1259061943,0.2329706132,0.3033002752
1787.55125,-0.003331414573,0.2147467424,0.2528412062,0.3317467969
1797.58825,0.1221537071,0.3406570297,0.2681386918,0.4504077021
1807.62525,0.1951615667,0.3675181152,0.2997417229,0.5128378911
1817.66325,0.2708657966,0.3530706686,0.3348764724,0.5569285668
1827.7002499999999,0.3391695712,0.3257358125,0.3635494637,0.594397199
1837.73725,0.3192007815,0.2580095601,0.3938696158,0.5688508999
1847.77525,0.2359826602,0.1169361269,0.4715013438,0.5400698019
1857.81225,0.1442996344,-0.02351706281,0.5147415036,0.5351020952
1867.84925,0.07779566936,-0.1666384833,0.4793822211,0.5134470413
1877.88725,0.01008787226,-0.2574224997,0.454553774,0.5224818102
1887.92425,-0.0653740637,-0.3286439252,0.4391223872,0.5523667882
1897.96125,-0.1036416051,-0.4503847092,0.3928580475,0.6065685568
1907.99925,-0.1267910973,-0.4710370749,0.2302615982,0.5394184942
1918.03625,-0.1162031419,-0.4796579904,0.08116344631,0.5001624366
1928.0742500000001,-0.07994174369,-0.4546926454,-0.01519866765,0.4619167497
1938.11125,0.01070153754,-0.3344768152,-0.04466395676,0.3376153608
1948.14825,0.05506966174,-0.1704013127,0.01266974688,0.1795265927
1958.18625,-0.1319663582,-0.0420283974,0.2041999733,0.2467369754
1968.22325,-0.4259733879,-0.0008889960498,0.333928054,0.5412596999
1978.26025,-0.5944496876,0.01614189662,0.4983581901,0.7758813553
1988.2982499999998,-0.6197867328,0.0283568763,0.6324289978,0.8859492896
