"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709388058490972E9,"2024-03-02 16:00:58.491 UTC+02:00"
"PAUSE",7.527376225413755E2,1.709388811221159E9,"2024-03-02 16:13:31.221 UTC+02:00"
