"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709808308096942E9,"2024-03-07 12:45:08.097 UTC+02:00"
"PAUSE",2.153116879165464E1,1.709808329627830E9,"2024-03-07 12:45:29.628 UTC+02:00"
"START",2.153116879165464E1,1.709808343136960E9,"2024-03-07 12:45:43.137 UTC+02:00"
"PAUSE",8.129299255833175E2,1.709809134526692E9,"2024-03-07 12:58:54.527 UTC+02:00"
