Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.604224958,0.9334623706,-0.7502612105,2.982531388,3.213990877
1.614260958,0.6215274489,-0.7712638244,3.400179875,3.541520499
1.624296958,0.3961740035,-0.5128613314,3.698590187,3.754936745
1.634332958,0.3188925236,-0.7700850257,3.549240021,3.64579595
1.644368958,0.1066573066,-1.163389216,3.107163035,3.319534964
1.654404958,0.2339836434,-1.631732186,2.78560652,3.236804282
1.664440958,0.4285158303,-1.769330911,2.62392516,3.19360939
1.674476958,0.3322782621,-1.710701757,2.830098569,3.323607566
1.684512958,0.2304577723,-1.632737907,2.762752093,3.217412468
1.694548958,0.3766925427,-1.477375633,2.110285272,2.603428501
1.704583958,0.7486666748,-1.179088405,1.24722864,1.872519837
1.714619958,1.130579904,-0.8863352743,0.4825116509,1.515459874
1.724655958,1.389565949,-0.5395351598,0.0479728961,1.491406422
1.734691958,1.490227813,-0.2077524492,-0.1504009116,1.512137708
1.744727958,1.595531782,-0.04218707621,-0.4325577182,1.653664898
1.754763958,1.525708718,-0.08860695183,-0.5682341713,1.630499419
1.764799958,1.362542165,-0.3617572922,-0.8356869847,1.638829529
1.774835958,1.429626978,-0.5891657415,-1.338734642,2.045277489
1.784871958,1.64366343,-0.5442643878,-1.298616895,2.164314911
1.794907958,1.787640005,-0.2827213553,-0.3765870005,1.84862271
1.804943958,1.577993351,0.09496959955,0.9004209244,1.81929659
1.814979958,1.478439242,0.09202640355,1.29641308,1.968486302
1.825015958,1.408141676,-0.03304115385,1.17613176,1.835004255
1.835051958,1.31384246,-0.1357419419,1.143354024,1.74695916
1.845087958,1.222216883,-0.2651820472,1.089066135,1.658372899
1.855123958,1.131150592,-0.4411858696,0.8132465404,1.461340675
1.865159958,0.949293707,-0.5938958466,0.6429908234,1.291242819
1.875195958,0.4753081736,-0.7572041944,0.6225167978,1.089404982
1.885231958,-0.2389096302,-0.7271802038,0.4478744996,0.8868260413
1.895267958,-0.6303269237,-0.4566862535,0.267228865,0.8229736516
1.905303958,-0.8617714137,0.13086858,0.316119774,0.9272045439
1.915339958,-0.472309429,0.683538048,0.2584673971,0.8701182995
1.925375958,0.3601735738,0.6961540005,0.006090459824,0.7838319267
1.935410958,1.033187511,0.3178315464,-0.444591288,1.168826222
1.945446958,1.291207596,-0.2822421759,-0.7183222568,1.504282077
1.955482958,0.8799074301,-0.7590317416,-0.8515995973,1.440690163
1.965518958,0.3051489356,-1.010118198,-1.309749994,1.68193332
1.975554958,0.2393364769,-3.001301242,11.31249118,11.70630376
1.985590958,-0.2998152517,-1.514564802,-0.2510887957,1.564238251
1.995626958,-1.602182843,-1.494679883,1.505076817,2.658253946
2.005662958,-1.976482852,-1.179475783,0.7123101497,2.409363678
2.015698958,-2.511820588,-1.658834908,0.1081296355,3.012086973
2.025734958,-2.06721512,-1.787361386,-0.03680588365,2.733019164
2.035770958,-1.435727963,-1.55704073,-0.2229373759,2.129645908
2.045806958,-1.083933887,-1.185581153,-0.2761195564,1.629956243
2.055842958,-0.7074955523,-0.8378212184,-0.3575969982,1.153416648
2.065878958,-0.3097059631,-0.7248962814,-0.4754914838,0.9205892426
2.075914958,-0.3706089534,-0.6762600186,-0.6447175062,1.005156342
2.085950958,-0.01564714909,-0.5359737669,-0.8501418865,1.005113894
2.095986958,0.4159143497,-0.4055288176,-1.066292399,1.214256089
2.106022958,0.7984706265,-0.3437984464,-1.110772169,1.410520302
2.116058958,1.014638388,-0.3578570531,-0.8767765385,1.387908437
2.126094958,0.807200958,-0.4328198196,-0.3892497307,0.9951993447
2.136130958,0.1940502302,-0.364862456,0.4356216592,0.6004551054
2.146166958,-0.225468197,-0.03436306313,0.8106585628,0.842130651
2.156202958,-0.3137534058,0.06437667489,0.7148794162,0.7833505829
2.166238958,-0.3387176545,-0.125521009,0.5563748485,0.6633537105
2.176274958,-0.2903532873,-0.2176919849,0.2225005889,0.4256775115
2.186309958,-0.1173975454,-0.08561653957,-0.1559388095,0.2131414737
2.196345958,-0.01065640435,-0.06112913132,-0.1247351432,0.1393168532
2.206381958,-0.1071048378,-0.04673328638,-0.04780625045,0.1262572133
2.216417958,-0.2686098312,-0.2524640608,0.2110125643,0.4247536294
2.226453958,-0.5633170284,-0.5063909487,0.6695851296,1.010990659
2.236489958,-0.9033860475,-0.736876203,1.131477744,1.624602959
2.246525958,-1.049987292,-0.4997978476,0.9917901009,1.528371292
2.256561958,-0.7321161309,-0.1889222952,0.4834466207,0.8974443146
2.266597958,-0.4302599086,-0.1138312554,0.3704485935,0.5790624354
2.276633958,-0.3388158877,-0.1142203145,0.3826365298,0.5236918941
2.286669958,-0.3939567393,0.06221590944,0.3167325622,0.5093056526
2.296705958,-0.6099572709,0.173484111,0.1560943455,0.653077372
2.306741958,-0.4058204475,-0.129475554,0.5793175685,0.7190709283
2.316777958,0.8420262435,-1.498632455,6.316992068,6.54670117
2.326813958,-2.1217502,0.0146512769,-13.53948278,13.7047303
2.336849958,-0.793157554,-0.1966631682,-6.351449125,6.403802097
2.346885958,3.650273767,0.383701052,6.403244931,7.380600972
2.356921958,0.3558985282,-0.4950135827,-0.7593913454,0.9738467153
2.366957958,0.1437333316,-0.4517488647,0.5859950888,0.7537417007
2.376993958,0.4184907791,-0.3736413194,0.4513477457,0.7200396901
2.387029958,0.3983547226,-0.4921357659,0.5107577956,0.8134848633
2.397065958,0.1018333536,-0.03072313027,0.6776390845,0.6859363465
2.407101958,0.04527016684,-0.06477937903,0.5738510066,0.5792674113
2.417137958,0.4397970097,-0.03609621439,1.057667756,1.146030291
2.427173958,0.8105562365,0.8500860456,-3.918612142,4.090864067
2.437208958,-0.5476387428,0.5084785509,0.5702573079,0.9400276733
2.447244958,-0.7668561202,0.49965386,0.2162914306,0.9404808726
2.457280958,-0.5779862306,0.7817539486,-0.6860362709,1.189896249
2.467316958,-0.4302493836,0.6612279966,-0.6377908945,1.014452671
2.477352958,1.046711901,-0.2720910076,9.154311948,9.217975188
2.487388958,0.5342647719,0.3682667781,-0.4262585127,0.7763733548
2.497424958,0.5236235704,0.2974608703,0.1186218792,0.613788044
2.507460958,0.4051941376,-0.05912572905,-0.9313351536,1.017380612
2.517496958,0.3226575458,-0.3287567034,-2.541331485,2.582741679
2.527532958,0.3466328841,-0.3339872936,-1.379589722,1.461153541
2.537568958,0.4910344428,-0.5361066449,0.5236959296,0.8959813533
2.547605125,0.5361298145,-0.2688796802,0.7567484039,0.965608413
2.557641125,0.7967284486,-0.1122920856,0.7265767711,1.084112327
2.567677125,0.3748023937,0.01854850095,-0.07213885367,0.3821320393
2.577713125,-0.4653920268,0.1527709708,-0.9395399666,1.059558425
2.587749125,-0.3773148327,-0.6747376961,-0.8453676349,1.145549597
2.597785125,-0.06935290209,-0.4224580053,0.08767315149,0.4369979093
2.607821125,0.1519214435,-0.1035610049,0.5938566703,0.6216677179
2.617857125,0.473655787,0.009507737104,1.065525829,1.166098407
2.627893125,0.459092931,0.03881158825,1.679776418,1.741815568
2.637929125,-0.5085164847,0.2625180923,0.5669624019,0.8055750301
2.647965125,-0.2733042317,-1.435594646,-1.312530345,1.964271645
2.658001125,-0.4882922449,-0.7435038757,-1.101416039,1.415748784
2.668037125,-0.03563603852,0.1675775461,-0.9802611458,0.995120131
2.678073125,-0.1129444704,0.02508630931,-0.971451146,0.9783164648
2.688109125,-0.1413338353,0.04804390322,-0.8957074839,0.908061323
2.698145125,-0.1319967912,0.05174519073,-0.6454577637,0.6608452484
2.708180125,-0.02476932856,-0.02310896371,0.2943622845,0.2963050766
2.718216125,0.491538217,-0.2568527616,2.744609937,2.800083368
2.728252125,0.3180546907,-0.201291751,1.665322101,1.707329744
2.738288125,-0.03768788131,-0.03560292866,-0.60915591,0.6113582155
2.748324125,-0.04265192986,-0.04044475213,-0.7841946495,0.7863944388
2.758360125,-0.0898385399,-0.008141626529,-0.8581402928,0.8628684786
2.768396125,-0.1015481831,0.01319870062,-0.877233206,0.8831898646
2.778432125,-0.1088434343,0.01475530252,-0.780234915,0.7879283817
2.788468125,-0.07689590164,0.0153596488,-0.5225299948,0.5283810122
2.798504125,0.03613651221,-0.01870352525,0.2874532145,0.2903188246
2.808540125,0.4583386401,-0.2305442746,2.34478844,2.400262028
2.818576125,0.18404992,-0.08590206642,0.7110337025,0.7394744513
2.828612125,-0.03013597846,-0.008054429926,-0.5823417485,0.5831766139
2.838648125,-0.05071628634,-0.005216593444,-0.6438263905,0.6458419123
2.848684125,-0.09368001441,0.01610107575,-0.7100484467,0.7163825698
2.858720125,-0.1010690677,0.01699650373,-0.6462021142,0.6542790001
2.868756125,-0.07770507406,-0.007411784381,-0.4543456131,0.4610021141
2.878792125,-0.004488364419,-0.05690042496,-0.006438369155,0.05743915366
2.888828125,0.2890449545,-0.192613679,1.488746713,1.52872947
2.898864125,0.1980708488,-0.1455730118,0.801838038,0.8386702582
2.908900125,-0.003404938742,-0.02664192449,-0.4165714306,0.4174363934
2.918936125,-0.02874754339,-0.02406856488,-0.4710896999,0.4725793292
2.928972125,-0.05996209103,0.02153569724,-0.5393460023,0.543096077
2.939008125,-0.07206848608,0.02945297342,-0.458260324,0.4648267084
2.949044125,-0.04984424265,0.01652803212,-0.2720013624,0.2770241245
2.959080125,0.02917138659,-0.03631541189,0.1171431184,0.1260646228
2.969115125,0.2232791457,-0.1416699588,1.061590068,1.094028074
2.979151125,0.1025004753,-0.08478470005,0.277346887,0.307597283
2.989187125,0.01209756256,-0.05377340712,-0.3125436169,0.3173664172
2.999223125,-0.008880340001,-0.03895436995,-0.3364704233,0.3388342503
3.009259125,-0.04968277727,-0.03133592304,-0.3753713644,0.379939442
3.019295125,-0.0537592733,-0.02870288529,-0.2678264505,0.2746723915
3.029331125,-0.02257632347,-0.03065388188,-0.1252526218,0.1309105424
