"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.708097042450329E9,"2024-02-16 17:24:02.450 UTC+02:00"
"PAUSE",5.236219283333048E2,1.708097566062817E9,"2024-02-16 17:32:46.063 UTC+02:00"
