"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.709664166E-1,7.860704362E-3,-3.177663499E-1,-1.652978629E-1,3.582745139E-1
6.809544167E-1,6.777390718E-2,-2.771920820E-1,-8.634641826E-2,2.981349640E-1
6.909434167E-1,9.342330337E-2,-1.999595726E-1,1.662831187E-2,2.213328828E-1
7.009314168E-1,3.888983130E-2,-8.290547803E-2,1.206660658E-1,1.514794927E-1
7.109194165E-1,-4.274928600E-2,6.638387784E-2,2.575587398E-1,2.693897272E-1
7.209074167E-1,-1.895158607E-1,2.132472239E-1,5.003146684E-1,5.759387184E-1
7.308954168E-1,-3.134563673E-1,3.050479250E-1,8.247866052E-1,9.335856013E-1
7.408844167E-1,-3.442592070E-1,3.459528530E-1,1.053877006E0,1.161401964E0
7.508724169E-1,-3.111911559E-1,2.184540233E-1,1.032697222E0,1.100466105E0
7.608604166E-1,-2.528941235E-1,7.331297457E-2,7.505012387E-1,7.953504506E-1
7.708484167E-1,-1.232824025E-1,-1.840498835E-2,4.878068894E-1,5.034807402E-1
7.808364169E-1,1.061643863E-1,2.808037609E-2,3.371703351E-1,3.546029036E-1
7.908254168E-1,2.147363636E-1,-1.508683965E-2,2.344090283E-1,3.182560465E-1
8.008134165E-1,1.018976730E-1,-1.065190199E-1,3.721226513E-2,1.520335162E-1
8.108014166E-1,-8.207034945E-2,-1.893500921E-1,-1.486297899E-1,2.543222643E-1
8.207894168E-1,-1.555447072E-2,-1.366962075E-1,-1.467534184E-1,2.011575515E-1
8.307774165E-1,1.644880235E-1,3.684199020E-2,9.378056824E-2,1.928948862E-1
8.407654166E-1,2.118887696E-1,1.868819824E-1,3.849368244E-1,4.774914500E-1
8.507544165E-1,1.587954667E-1,1.788287584E-1,6.145996678E-1,6.594910740E-1
8.607424167E-1,3.014561266E-2,1.518932672E-1,7.144578320E-1,7.310474104E-1
8.707304168E-1,-5.580699563E-2,1.811796315E-1,6.355625206E-1,6.632346472E-1
8.807184165E-1,-8.632302940E-2,2.154014844E-1,4.175140017E-1,4.776687205E-1
8.907064167E-1,3.102532625E-2,1.549629092E-1,2.947113633E-2,1.607626262E-1
9.006954166E-1,2.733351123E-1,2.220363200E-2,-2.165872997E-1,3.494497722E-1
9.106834168E-1,5.716296494E-1,5.325790197E-3,-2.998528200E-1,6.455234572E-1
9.206714164E-1,6.188350984E-1,4.044270560E-1,-2.244225687E-1,7.725824306E-1
9.306594166E-1,5.506200188E-1,1.148107664E0,-2.305925506E-1,1.294027255E0
9.406474167E-1,4.442337307E-1,1.400377305E0,-2.798249370E-1,1.495560831E0
9.506364167E-1,3.196652332E-1,1.193110905E0,-3.189486569E-1,1.275706761E0
9.606244168E-1,2.523903859E-1,9.120103982E-1,-4.817614532E-1,1.061865326E0
9.706124165E-1,9.764440835E-2,5.600331590E-1,-6.417067748E-1,8.572975881E-1
9.806004167E-1,-1.797314224E-1,3.139134733E-1,-4.727047008E-1,5.952266687E-1
9.905884168E-1,-6.029721871E-1,6.347494653E-1,-1.151924872E-1,8.830354756E-1
1.000577417E0,-7.698055288E-1,4.700579587E-1,1.214542120E0,1.512834293E0
1.010565417E0,-4.309286839E-1,-5.418176204E-2,1.586101100E0,1.644491378E0
1.020553417E0,-2.822190794E-1,-1.313667628E-1,5.562111264E-1,6.373975622E-1
1.030541417E0,-1.045859304E0,-1.103319892E-1,4.406134272E-1,1.140234635E0
1.040529417E0,-9.428565073E-1,-2.493586046E-1,5.550282347E-1,1.122147249E0
1.050517417E0,-3.530984429E-1,-1.495836170E-1,-3.144954175E-1,4.959446909E-1
1.060506416E0,-1.863384837E-1,1.303597261E-1,-9.556619096E-1,9.823468706E-1
1.070494417E0,-1.195378456E-1,2.283192994E-1,-1.364572903E0,1.388696585E0
1.080482417E0,6.775110304E-2,2.396371700E-1,-1.403481445E0,1.425403926E0
1.090470416E0,6.958101842E-1,6.319392934E-2,-1.200070846E0,1.388637937E0
1.100458417E0,1.087879735E0,-8.354867175E-2,-9.061202055E-1,1.418279424E0
1.110447417E0,1.174638674E0,1.297058612E-1,-7.390038586E-1,1.393817179E0
1.120435417E0,1.003033420E0,3.090003504E-1,-3.982538581E-1,1.122569995E0
1.130423417E0,3.695346737E-1,2.333012733E-1,-2.928601348E-1,5.260726354E-1
1.140411417E0,5.546931893E-2,9.757965043E-2,-3.497389251E-1,3.673090650E-1
1.150399417E0,-2.415484786E-2,1.282253462E-1,-3.122810769E-1,3.384444815E-1
1.160388417E0,2.678755671E-2,2.142497291E-1,-5.654111356E-1,6.052357159E-1
1.170376417E0,-1.264840454E-1,1.125166552E-1,-9.009185225E-1,9.166855489E-1
1.180364416E0,-1.472058760E0,4.278575800E-1,-1.010119953E0,1.835854411E0
1.190352417E0,-1.707796276E-1,-5.045902987E-1,-3.498652250E-1,6.373246632E-1
1.200340417E0,7.050689578E-1,-8.866856687E-1,-4.099599838E-1,1.204741009E0
1.210329417E0,-1.172583085E-1,-7.505942094E-1,-7.120025861E-1,1.041195880E0
1.220317417E0,2.099682516E-1,-4.311320208E-1,2.903142571E-3,4.795517848E-1
1.230305417E0,4.569900164E-1,-6.582020625E-2,3.740656811E-1,5.942199159E-1
1.240293417E0,-7.275582263E-1,7.539918803E-2,8.309928399E-1,1.107056959E0
1.250281417E0,5.162620720E-1,2.675972396E-1,1.234871719E0,1.364933322E0
1.260270417E0,3.768594807E-1,9.586830197E-1,1.473855025E-1,1.040585742E0
1.270258417E0,1.237592429E-2,7.489320653E-1,8.444899678E-2,7.537798319E-1
1.280246417E0,3.466200203E-2,3.380079487E-1,-1.058919060E-1,3.558987546E-1
1.290234417E0,1.498113661E-1,2.543703993E-1,-7.866750383E-1,8.402412519E-1
1.300222417E0,3.869798416E-1,2.721072701E-1,-1.225176451E0,1.313336629E0
1.310211417E0,7.255554087E-1,2.176153133E-1,-1.277873898E0,1.485512967E0
1.320199416E0,1.287441258E0,8.576396249E-2,-9.847143853E-1,1.623121336E0
1.330187417E0,1.731436276E0,1.658912091E-1,-7.701864749E-1,1.902256207E0
1.340175417E0,1.930124956E0,1.976154238E-1,-9.356305182E-1,2.154028475E0
1.350163416E0,1.730784019E0,-5.636914694E-1,-1.727635878E-1,1.828444325E0
1.360151417E0,1.621446057E-1,-8.709219407E-1,1.154818075E0,1.455472667E0
1.370140417E0,-8.222160231E-1,4.148395218E-1,-9.951013792E-1,1.355860528E0
1.380128417E0,-9.121027842E-2,3.325184365E-1,-4.772637749E-1,5.887856454E-1
1.390116417E0,1.946492775E-1,7.782179911E-2,-1.100621402E-2,2.099183422E-1
1.400104417E0,6.027328898E-1,-6.073393263E-2,8.459482634E-1,1.040482586E0
1.410092417E0,7.549973090E-1,7.830518112E-3,1.091079916E0,1.326852530E0
1.420081417E0,8.277989446E-1,2.199381197E-1,9.778696346E-1,1.299943419E0
1.430069417E0,1.227691046E0,-1.278113633E-2,7.952792162E-1,1.462825244E0
1.440057416E0,1.494085806E0,-3.516085723E-1,5.346004021E-1,1.625336449E0
1.450045417E0,1.156221260E0,-4.939903931E-1,2.508321029E-1,1.282104073E0
1.460033417E0,3.990370926E-1,-2.617140636E-1,3.259308171E-1,5.778890464E-1
1.470022417E0,5.143985644E-2,1.105897783E-1,5.003813267E-1,5.150316786E-1
1.480010417E0,2.290694971E-1,3.531638586E-1,4.263924140E-1,5.991727933E-1
1.489998417E0,3.793398696E-1,5.304445667E-1,7.383746982E-2,6.562942533E-1
1.499986417E0,2.573957486E-1,8.470829156E-1,-2.370040226E-1,9.165003786E-1
1.509974417E0,3.299099936E-1,8.277065586E-1,-2.910802424E-1,9.373721024E-1
1.519963417E0,3.734808134E-1,1.104092309E0,4.379272163E-2,1.166372817E0
1.529951417E0,2.665828939E-1,1.295489366E0,4.709651542E-1,1.403982661E0
1.539939417E0,3.142702266E-1,5.942406131E-1,9.176129079E-1,1.137497750E0
1.549927417E0,3.531906096E-1,-1.452828437E-2,7.300190270E-1,8.110995361E-1
1.559915417E0,6.090829660E-1,-1.321470737E-3,2.488370329E-1,6.579541585E-1
1.569904417E0,1.148994029E0,3.337038133E-1,9.766428888E-2,1.200451509E0
1.579892416E0,1.162402206E0,7.106070019E-1,9.755845428E-2,1.365891230E0
1.589880417E0,1.064467264E0,7.055734263E-1,1.432602918E-1,1.285086739E0
1.599868417E0,1.018270386E0,4.224486863E-1,2.351294053E-1,1.127219282E0
1.609856416E0,9.572475283E-1,-1.735080846E-2,6.405958039E-1,1.151949159E0
