"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709384683618063E9,"2024-03-02 15:04:43.618 UTC+02:00"
"PAUSE",5.909254357912578E2,1.709385274540468E9,"2024-03-02 15:14:34.540 UTC+02:00"
