"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.708091804670646E9,"2024-02-16 15:56:44.671 UTC+02:00"
"PAUSE",3.611040416639298E0,1.708091808281644E9,"2024-02-16 15:56:48.282 UTC+02:00"
