"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.709110260050823E9,"2024-02-28 10:51:00.051 UTC+02:00"
"PAUSE",6.255910554165021E2,1.709110885636444E9,"2024-02-28 11:01:25.636 UTC+02:00"
